@relation 30_10_5_10_5_1000

@attribute A1 {d,b,a,e,c,j,g,f,i,h}
@attribute A2 {i,f,d,e,a,c,b,g,j,h}
@attribute A3 {h,b,g,a,i,f,j,d,e,c}
@attribute A4 {h,f,d,i,b,c,a,e,j,g}
@attribute A5 {g,b,j,i,f,e,h,d,a,c}
@attribute A6 {f,g,c,j,i,a,d,e,h,b}
@attribute A7 {c,e,h,b,a,j,i,g,d,f}
@attribute A8 {a,c,e,g,d,h,i,j,b,f}
@attribute A9 {f,g,d,h,i,a,j,c,b,e}
@attribute A10 {f,c,b,e,j,d,a,h,i,g}
@attribute A11 {c,a,d,j,f,h,e,i,b,g}
@attribute A12 {c,g,j,i,h,d,f,e,b,a}
@attribute A13 {b,i,g,d,a,c,h,e,j,f}
@attribute A14 {d,g,f,j,b,e,c,a,i,h}
@attribute A15 {i,h,b,a,d,e,g,j,c,f}
@attribute A16 {g,a,c,b,e,i,f,d,h,j}
@attribute A17 {e,h,f,g,b,a,j,i,d,c}
@attribute A18 {g,c,e,h,a,j,f,b,d,i}
@attribute A19 {a,g,e,h,b,j,d,c,f,i}
@attribute A20 {b,d,f,j,e,h,i,c,a,g}
@attribute A21 {i,b,a,j,c,e,f,d,g,h}
@attribute A22 {a,f,j,c,e,i,b,g,h,d}
@attribute A23 {e,b,h,a,i,f,c,j,g,d}
@attribute A24 {j,a,h,f,i,e,b,g,c,d}
@attribute A25 {c,g,b,f,e,i,a,d,h,j}
@attribute A26 {f,b}
@attribute A27 {a,i,h,e,d,c,b,f,j,g}
@attribute A28 {b,h,e,g,d,i,f,c,j,a}
@attribute A29 {h,b,f,a,e,g,j,c,d,i}
@attribute A30 {c,d,a,h,g,f,b,e,j,i}
@attribute Class {c5,c1,c4,c2,c3}

@data
e,f,b,f,c,i,e,e,g,j,a,j,g,h,h,a,g,j,f,b,g,f,e,g,g,f,j,f,b,c,c1
a,f,b,i,e,f,c,j,f,j,d,a,d,i,f,b,f,h,c,f,f,h,b,h,b,b,g,a,f,h,c4
i,c,b,i,b,f,c,b,f,c,d,a,d,h,c,b,f,h,h,h,f,e,c,h,b,b,e,i,f,h,c4
i,b,d,i,g,h,i,h,g,a,d,a,d,a,g,b,f,h,g,c,a,e,c,h,b,b,a,g,f,h,c4
e,h,g,j,b,b,b,d,h,b,d,e,c,d,g,g,g,c,a,j,j,h,j,b,f,b,i,b,h,c,c2
c,b,g,i,e,i,f,i,f,e,d,g,d,h,b,b,f,h,j,g,d,h,d,h,b,b,d,f,f,h,c4
f,f,b,f,a,b,j,d,a,h,a,e,e,h,h,a,g,c,f,b,g,f,e,d,c,f,b,e,b,j,c1
h,f,b,f,c,e,d,j,c,h,a,a,e,b,h,a,b,h,b,b,a,f,e,h,b,f,i,g,b,g,c1
f,i,g,i,d,c,d,c,b,c,d,j,d,i,g,b,f,h,i,e,e,b,f,h,b,b,e,b,f,h,c4
d,i,g,a,i,i,c,f,f,a,h,c,i,d,d,h,e,j,a,h,g,e,e,h,c,f,e,b,e,f,c5
h,c,i,i,e,b,e,h,g,a,d,b,d,f,g,b,f,h,h,f,c,i,c,h,b,b,c,b,f,h,c4
d,i,i,i,j,h,c,a,f,d,d,c,e,d,g,f,e,g,a,e,b,c,e,j,c,f,h,g,e,h,c5
e,f,b,f,d,h,a,a,b,d,a,g,i,i,h,a,h,a,d,b,j,f,e,a,b,f,g,a,b,e,c1
j,j,b,i,h,a,f,c,a,a,d,j,d,i,f,b,f,h,e,g,i,g,d,h,b,b,h,d,f,h,c4
a,i,c,i,g,c,b,f,b,c,d,h,d,a,j,b,f,h,c,a,i,a,h,h,b,b,g,f,f,h,c4
d,i,h,g,b,c,c,i,f,g,e,c,b,d,a,j,e,i,a,c,h,b,e,a,c,f,e,h,h,e,c5
d,i,e,b,b,g,c,g,f,a,g,c,a,d,g,d,e,d,a,e,i,e,e,h,c,f,e,j,c,d,c5
b,f,d,e,b,d,b,d,h,b,d,h,c,d,f,g,d,c,f,j,f,e,b,f,f,b,h,b,f,j,c2
d,i,f,h,j,i,c,j,f,e,b,c,c,d,h,d,e,d,a,j,e,i,e,b,c,f,d,g,a,c,c5
d,i,j,c,e,b,c,e,f,j,c,c,i,d,j,b,e,h,a,e,a,d,e,f,c,f,j,a,c,c,c5
c,a,f,d,a,b,c,g,h,c,j,g,i,f,b,g,b,b,e,b,b,g,h,j,c,f,i,b,j,a,c3
j,i,i,b,b,j,b,d,h,b,d,h,a,d,j,h,c,c,a,j,c,i,d,g,f,b,j,d,i,a,c2
c,a,f,j,c,g,c,f,h,h,f,i,h,c,a,d,b,e,a,b,b,d,h,j,g,f,i,c,d,f,c3
i,c,b,i,b,h,b,d,h,b,d,g,c,d,a,f,e,c,e,j,d,g,g,g,f,b,d,e,b,d,c2
d,d,b,i,h,h,i,i,j,f,d,f,d,e,b,b,f,h,e,i,d,c,a,h,b,b,b,h,f,h,c4
c,a,f,c,d,d,c,a,h,a,c,h,j,c,g,g,b,c,g,b,g,g,h,j,j,f,i,b,g,e,c3
d,i,c,c,f,j,c,a,f,f,c,c,b,d,i,f,e,b,a,f,i,j,e,a,c,f,e,a,d,c,c5
e,d,b,i,a,e,h,c,a,h,d,e,d,a,h,b,f,h,a,f,b,i,h,h,b,b,h,c,f,h,c4
d,i,j,c,d,e,c,a,f,h,i,c,a,d,a,j,e,f,a,a,i,i,e,b,c,f,j,h,f,f,c5
d,i,f,a,f,c,c,i,f,f,j,c,b,d,h,f,e,h,a,i,c,f,e,b,c,f,g,d,h,h,c5
d,i,j,i,f,g,c,h,f,e,f,c,b,d,c,e,e,d,a,i,b,g,e,j,c,f,e,b,h,b,c5
d,i,b,b,f,f,c,j,f,c,a,c,g,d,i,b,e,e,a,i,g,c,e,c,c,f,e,b,i,f,c5
e,a,g,i,g,g,i,b,i,e,d,a,d,a,b,b,f,h,h,g,d,g,g,h,b,b,b,d,f,h,c4
d,i,g,e,b,g,c,g,f,g,j,c,f,d,g,e,e,h,a,g,g,h,e,b,c,f,b,f,d,d,c5
d,i,h,e,c,a,c,c,f,g,b,c,b,d,b,e,e,j,a,a,f,b,e,g,c,f,c,j,b,b,c5
g,j,j,g,b,f,b,d,h,b,d,h,b,d,c,a,j,c,h,j,b,g,i,d,f,b,h,e,j,j,c2
e,e,g,i,b,e,h,d,g,j,d,j,d,h,f,b,f,h,j,j,d,i,e,h,b,b,b,f,f,h,c4
c,a,f,h,c,f,c,i,h,a,j,e,c,i,f,c,b,c,e,b,a,d,h,j,j,f,i,a,d,j,c3
c,a,f,a,b,a,c,b,h,a,h,a,b,e,g,j,b,g,j,b,a,a,h,j,j,f,i,c,a,j,c3
d,i,h,h,e,d,c,j,f,e,a,c,g,d,e,g,e,f,a,d,i,h,e,b,c,f,f,b,a,d,c5
a,i,g,i,j,g,b,f,h,e,d,j,d,b,c,b,f,h,f,a,h,b,g,h,b,b,a,c,f,h,c4
c,a,f,j,j,g,c,h,h,b,g,f,e,f,a,g,b,g,g,b,c,j,h,j,a,f,i,d,h,b,c3
d,j,b,i,a,b,b,d,a,d,d,c,d,b,h,b,f,h,a,h,e,j,g,h,b,b,g,a,f,h,c4
g,b,b,b,b,c,b,d,h,b,d,c,g,d,h,c,b,c,f,j,a,d,a,i,f,b,j,e,b,e,c2
i,d,j,i,b,c,b,d,h,b,d,e,b,d,g,b,e,c,e,j,g,f,b,c,f,b,d,j,g,i,c2
b,h,d,g,b,d,b,d,h,b,d,e,c,d,d,a,j,c,f,j,i,c,c,j,f,b,i,a,h,g,c2
a,d,e,j,b,g,b,d,h,b,d,i,i,d,d,c,a,c,g,j,e,a,e,i,f,b,f,b,f,h,c2
e,f,b,f,i,f,h,e,c,f,a,j,g,c,h,a,c,j,d,b,d,f,e,d,a,f,e,i,b,b,c1
b,f,b,f,c,j,j,j,a,d,a,c,c,c,h,a,b,j,e,b,i,f,e,f,f,f,e,j,b,b,c1
c,f,b,f,c,b,a,j,a,h,a,j,h,i,h,a,g,e,j,b,j,f,e,b,i,f,e,g,b,j,c1
d,i,i,i,c,j,c,a,f,e,b,c,i,d,c,j,e,h,a,g,a,d,e,g,c,f,d,c,f,b,c5
g,f,f,e,b,c,b,d,h,b,d,c,j,d,a,i,f,c,c,j,j,g,f,c,f,b,c,f,e,c,c2
e,j,j,b,b,j,b,d,h,b,d,g,c,d,f,e,a,c,g,j,d,d,d,h,f,b,i,f,h,e,c2
c,a,f,i,c,f,c,j,h,f,c,f,j,a,d,a,b,e,h,b,h,c,h,j,h,f,i,c,c,f,c3
d,f,b,f,d,d,i,i,c,j,a,d,j,a,h,a,g,j,g,b,c,f,e,e,c,f,d,g,b,e,c1
b,d,h,i,i,b,d,b,e,b,d,g,d,j,i,b,f,h,a,j,i,e,e,h,b,b,a,i,f,h,c4
a,c,i,i,a,a,f,f,d,h,d,c,d,g,e,b,f,h,e,h,e,d,c,h,b,b,h,f,f,h,c4
i,a,e,i,d,a,f,e,j,f,d,j,d,d,i,b,f,h,c,c,i,f,a,h,b,b,g,a,f,h,c4
b,a,h,g,b,a,b,d,h,b,d,f,f,d,e,i,i,c,j,j,h,f,c,e,f,b,i,b,b,f,c2
i,f,b,f,c,a,f,a,a,e,a,j,f,b,h,a,h,c,c,b,f,f,e,g,b,f,e,f,b,e,c1
c,a,f,b,i,f,c,a,h,g,f,j,c,h,i,g,b,i,c,b,d,h,h,j,a,f,i,e,f,e,c3
c,a,f,c,d,e,c,h,h,a,i,g,c,e,j,a,b,f,c,b,e,g,h,j,g,f,i,c,h,b,c3
i,e,f,j,b,c,b,d,h,b,d,d,c,d,j,i,d,c,j,j,e,d,d,b,f,b,i,b,b,i,c2
d,i,e,h,g,g,c,a,f,i,e,c,i,d,c,e,e,d,a,g,g,a,e,f,c,f,d,a,d,g,c5
f,g,b,i,f,h,b,d,a,b,d,c,d,d,a,b,f,h,i,h,f,c,b,h,b,b,d,g,f,h,c4
c,a,f,a,b,j,c,a,h,d,h,e,a,c,c,j,b,j,e,b,c,c,h,j,g,f,i,f,h,f,c3
j,d,e,i,i,b,b,a,a,f,d,i,d,i,a,b,f,h,f,h,d,b,j,h,b,b,b,i,f,h,c4
d,i,a,b,b,a,c,b,f,g,a,c,d,d,d,e,e,e,a,e,e,a,e,h,c,f,b,g,g,a,c5
f,e,f,g,b,f,b,d,h,b,d,e,j,d,i,a,d,c,j,j,d,b,a,i,f,b,c,c,a,f,c2
c,c,b,e,b,j,b,d,h,b,d,f,d,d,f,b,e,c,d,j,j,b,i,j,f,b,h,a,d,e,c2
c,a,f,g,g,f,c,e,h,g,g,b,e,d,i,d,b,j,g,b,c,i,h,j,j,f,i,a,h,b,c3
i,f,b,f,i,d,i,g,c,d,a,c,i,c,h,a,i,e,h,b,d,f,e,g,c,f,h,h,b,e,c1
c,a,f,g,b,c,c,g,h,b,c,d,h,i,f,b,b,f,h,b,f,g,h,j,e,f,i,b,h,j,c3
c,a,f,g,e,h,c,e,h,j,g,d,a,a,c,f,b,j,c,b,d,f,h,j,f,f,i,b,c,c,c3
e,f,b,f,i,f,j,g,f,d,a,a,c,f,h,a,g,e,i,b,d,f,e,c,h,f,f,i,b,c,c1
d,i,d,j,h,b,c,e,f,h,c,c,i,d,d,h,e,i,a,i,i,f,e,f,c,f,e,c,j,g,c5
i,b,b,i,e,j,f,i,b,i,d,e,d,j,e,b,f,h,f,f,b,b,b,h,b,b,a,e,f,h,c4
h,f,h,b,b,j,b,d,h,b,d,f,h,d,e,g,i,c,b,j,a,g,h,g,f,b,j,d,c,c,c2
c,a,f,h,g,f,c,g,h,i,h,j,j,b,h,d,b,h,h,b,a,j,h,j,c,f,i,h,c,f,c3
c,a,f,g,d,e,c,e,h,c,j,b,h,e,i,i,b,i,f,b,d,i,h,j,i,f,i,i,e,c,c3
a,f,a,i,b,f,b,d,h,b,d,e,f,d,b,e,e,c,d,j,i,g,h,g,f,b,e,d,f,e,c2
j,c,j,i,g,j,b,j,h,j,d,f,d,f,j,b,f,h,j,a,c,g,b,h,b,b,i,d,f,h,c4
a,f,b,f,j,h,c,i,e,g,a,a,i,i,h,a,b,b,d,b,j,f,e,e,i,f,a,c,b,f,c1
c,a,f,j,g,b,c,d,h,a,c,c,c,h,d,d,b,f,c,b,c,g,h,j,b,f,i,j,h,a,c3
d,i,c,g,i,b,c,j,f,f,a,c,i,d,f,c,e,j,a,c,a,d,e,h,c,f,e,h,j,e,c5
c,a,f,g,h,a,c,h,h,j,e,d,f,h,g,f,b,b,d,b,j,e,h,j,e,f,i,d,c,h,c3
a,h,i,i,j,c,i,f,b,f,d,b,d,h,h,b,f,h,j,j,b,h,j,h,b,b,h,c,f,h,c4
h,a,c,g,b,g,b,d,h,b,d,e,d,d,f,a,j,c,g,j,g,h,f,b,f,b,i,b,g,b,c2
i,f,b,f,i,g,h,e,e,d,a,j,g,f,h,a,d,j,c,b,c,f,e,g,j,f,h,b,b,c,c1
d,c,j,i,d,i,c,i,d,e,d,g,d,a,h,b,f,h,i,j,f,e,f,h,b,b,h,j,f,h,c4
c,a,h,i,h,h,h,f,i,e,d,a,d,c,g,b,f,h,h,j,i,h,a,h,b,b,g,j,f,h,c4
b,i,e,i,d,g,h,f,c,f,d,b,d,g,g,b,f,h,b,b,f,i,d,h,b,b,c,g,f,h,c4
c,a,f,j,d,g,c,a,h,a,f,e,d,e,f,e,b,d,h,b,i,f,h,j,e,f,i,f,a,g,c3
d,i,b,e,i,c,c,e,f,g,h,c,f,d,b,h,e,i,a,f,h,h,e,h,c,f,d,e,c,d,c5
d,f,b,f,j,i,h,h,c,f,a,c,d,h,h,a,j,d,b,b,g,f,e,h,d,f,e,f,b,e,c1
c,b,i,i,b,c,b,d,h,b,d,i,c,d,h,b,a,c,d,j,e,h,d,b,f,b,c,h,j,i,c2
c,a,f,d,f,h,c,b,h,i,f,a,g,d,j,h,b,j,g,b,e,d,h,j,h,f,i,f,h,g,c3
f,h,b,i,j,a,f,a,e,d,d,h,d,b,b,b,f,h,c,d,h,g,b,h,b,b,i,d,f,h,c4
i,f,h,i,f,d,a,b,g,d,d,d,d,a,i,b,f,h,a,i,j,e,h,h,b,b,f,f,f,h,c4
d,i,d,i,f,b,c,a,f,g,b,c,i,d,f,j,e,a,a,h,d,g,e,e,c,f,c,f,e,e,c5
j,g,j,c,b,g,b,d,h,b,d,e,a,d,f,b,j,c,j,j,a,c,g,e,f,b,c,j,c,b,c2
g,e,e,i,i,j,c,b,a,d,d,a,d,i,j,b,f,h,j,a,e,d,e,h,b,b,a,b,f,h,c4
c,a,f,j,g,d,c,d,h,e,c,c,f,c,d,i,b,i,d,b,d,c,h,j,e,f,i,e,e,b,c3
c,a,f,g,b,g,c,h,h,f,e,c,b,g,a,c,b,f,h,b,g,h,h,j,g,f,i,h,j,h,c3
e,f,b,f,c,a,f,h,j,g,a,e,e,f,h,a,h,c,a,b,e,f,e,d,j,f,f,h,b,a,c1
c,a,f,i,d,f,c,e,h,i,d,d,f,d,c,i,b,a,d,b,g,e,h,j,d,f,i,h,j,e,c3
g,e,f,h,b,h,b,d,h,b,d,f,b,d,f,f,d,c,c,j,j,j,d,g,f,b,e,i,j,a,c2
j,i,a,i,d,h,b,g,g,b,d,g,d,g,a,b,f,h,c,i,b,j,a,h,b,b,a,f,f,h,c4
c,a,f,b,d,b,c,c,h,j,d,e,d,g,f,c,b,f,c,b,g,j,h,j,g,f,i,i,d,h,c3
h,d,g,i,h,j,a,i,j,i,d,d,d,i,c,b,f,h,j,i,f,d,g,h,b,b,d,f,f,h,c4
g,j,d,b,b,a,b,d,h,b,d,h,e,d,f,a,e,c,d,j,c,a,e,h,f,b,a,c,h,c,c2
c,a,f,j,j,i,c,e,h,h,d,a,g,e,g,b,b,d,a,b,c,c,h,j,d,f,i,h,f,h,c3
f,h,f,a,b,e,b,d,h,b,d,a,b,d,c,c,c,c,c,j,i,h,b,j,f,b,d,i,g,a,c2
d,i,f,i,j,j,c,a,f,d,b,c,j,d,i,a,e,h,a,j,f,d,e,c,c,f,g,c,a,e,c5
j,f,c,b,b,e,b,d,h,b,d,e,d,d,d,h,c,c,b,j,g,d,i,i,f,b,j,h,b,i,c2
j,g,a,i,i,i,c,d,e,e,d,h,d,a,b,b,f,h,i,e,h,g,c,h,b,b,i,h,f,h,c4
b,a,d,i,i,j,j,e,a,b,d,e,d,c,e,b,f,h,d,f,i,e,e,h,b,b,a,d,f,h,c4
c,a,f,g,d,e,c,d,h,i,j,c,h,f,h,i,b,b,g,b,d,i,h,j,j,f,i,e,f,g,c3
c,a,f,a,g,d,c,d,h,a,e,b,b,j,g,h,b,b,f,b,j,c,h,j,g,f,i,a,h,c,c3
a,h,d,i,g,g,h,e,d,h,d,c,d,j,i,b,f,h,g,c,c,c,d,h,b,b,g,h,f,h,c4
c,a,f,g,a,d,c,e,h,b,e,f,a,j,a,c,b,g,d,b,f,d,h,j,h,f,i,d,g,d,c3
e,c,a,i,b,a,b,i,a,j,d,h,d,g,a,b,f,h,i,j,b,b,d,h,b,b,i,i,f,h,c4
b,j,f,h,b,c,b,d,h,b,d,e,a,d,j,h,f,c,a,j,h,f,f,h,f,b,e,c,f,f,c2
c,a,e,a,b,d,b,d,h,b,d,h,g,d,b,g,d,c,c,j,d,i,g,f,f,b,i,i,j,i,c2
c,a,f,e,c,i,c,c,h,f,g,f,a,c,c,j,b,b,g,b,g,i,h,j,g,f,i,f,b,a,c3
d,i,a,i,b,h,c,j,f,j,d,c,c,d,i,i,e,e,a,d,i,c,e,a,c,f,i,b,b,j,c5
d,i,e,e,b,f,c,c,f,f,d,c,g,d,c,g,e,f,a,h,d,j,e,a,c,f,c,d,a,b,c5
j,f,b,f,h,b,g,b,h,h,a,i,b,g,h,a,d,e,g,b,c,f,e,h,d,f,e,b,b,c,c1
d,i,f,c,e,a,c,j,f,b,g,c,b,d,f,j,e,j,a,g,f,g,e,i,c,f,e,d,c,b,c5
f,f,b,f,b,h,d,j,h,h,a,b,d,c,h,a,a,g,i,b,f,f,e,j,j,f,i,e,b,f,c1
c,a,f,i,j,f,c,i,h,e,a,j,i,i,e,f,b,c,a,b,a,b,h,j,d,f,i,e,f,d,c3
d,i,j,g,g,e,c,j,f,j,d,c,j,d,e,f,e,h,a,i,j,a,e,d,c,f,d,e,h,j,c5
c,d,f,i,d,c,g,j,e,f,d,b,d,c,i,b,f,h,d,j,f,d,j,h,b,b,i,d,f,h,c4
c,i,j,i,f,h,c,j,b,e,d,e,d,h,f,b,f,h,j,g,e,a,c,h,b,b,b,a,f,h,c4
i,i,b,i,e,g,c,f,b,b,d,c,d,c,c,b,f,h,h,i,c,a,e,h,b,b,a,a,f,h,c4
g,j,g,i,e,g,i,d,j,j,d,d,d,b,f,b,f,h,c,e,b,j,i,h,b,b,e,i,f,h,c4
f,f,b,f,f,j,h,h,h,g,a,g,j,g,h,a,i,f,a,b,j,f,e,c,h,f,b,a,b,i,c1
d,i,b,b,j,d,c,h,f,e,i,c,i,d,g,e,e,f,a,d,d,c,e,c,c,f,c,h,f,a,c5
d,f,j,i,c,i,a,f,h,h,d,a,d,d,a,b,f,h,b,d,f,c,b,h,b,b,d,f,f,h,c4
c,a,f,h,i,f,c,i,h,c,c,f,c,g,j,e,b,d,j,b,b,i,h,j,a,f,i,a,f,b,c3
c,g,f,a,b,j,b,d,h,b,d,b,h,d,f,i,g,c,h,j,f,g,c,j,f,b,a,f,h,j,c2
d,i,c,b,g,e,c,a,f,i,i,c,j,d,g,a,e,f,a,h,e,j,e,c,c,f,h,f,c,e,c5
i,h,d,i,i,h,h,h,b,i,d,b,d,i,i,b,f,h,f,g,c,f,c,h,b,b,b,b,f,h,c4
g,f,b,f,a,h,a,g,b,i,a,h,i,c,h,a,d,i,j,b,h,f,e,j,c,f,g,h,b,c,c1
d,i,j,a,e,e,c,i,f,j,j,c,b,d,c,a,e,e,a,j,f,j,e,a,c,f,d,i,e,e,c5
c,a,f,b,d,b,c,i,h,e,c,e,f,g,g,c,b,h,c,b,b,f,h,j,c,f,i,h,g,f,c3
b,j,a,i,i,d,f,f,g,a,d,i,d,d,d,b,f,h,d,c,h,a,g,h,b,b,i,c,f,h,c4
d,f,b,f,e,f,j,g,d,j,a,d,g,j,h,a,h,e,i,b,d,f,e,g,c,f,e,f,b,e,c1
b,f,b,f,h,g,e,f,h,h,a,d,j,j,h,a,g,g,i,b,b,f,e,f,j,f,c,c,b,j,c1
j,c,c,i,d,j,c,e,d,a,d,b,d,g,f,b,f,h,f,b,h,f,f,h,b,b,e,d,f,h,c4
d,h,g,i,g,h,j,b,a,h,d,e,d,e,f,b,f,h,e,h,f,i,g,h,b,b,a,g,f,h,c4
h,f,b,f,a,f,a,a,e,f,a,a,g,j,h,a,j,d,h,b,f,f,e,c,d,f,h,j,b,g,c1
j,b,f,a,b,e,b,d,h,b,d,h,b,d,d,b,e,c,i,j,j,b,g,g,f,b,c,d,c,j,c2
j,a,c,g,b,d,b,d,h,b,d,d,d,d,a,f,d,c,c,j,d,f,f,j,f,b,d,c,c,c,c2
g,i,c,g,b,j,b,d,h,b,d,g,i,d,a,a,d,c,i,j,f,b,d,b,f,b,c,g,b,e,c2
a,e,j,i,d,f,d,d,e,e,d,j,d,d,h,b,f,h,i,d,c,a,i,h,b,b,f,j,f,h,c4
d,a,d,b,b,d,b,d,h,b,d,a,i,d,i,d,h,c,g,j,b,h,b,c,f,b,j,b,e,j,c2
c,a,f,e,b,a,c,g,h,c,g,i,e,j,b,g,b,f,e,b,i,a,h,j,f,f,i,i,e,h,c3
d,i,j,e,h,e,c,a,f,e,c,c,c,d,h,a,e,h,a,d,f,i,e,a,c,f,j,i,i,e,c5
c,a,f,b,b,e,c,c,h,b,j,h,i,f,g,f,b,h,c,b,i,h,h,j,f,f,i,f,i,b,c3
b,i,i,i,e,j,d,e,f,b,d,d,d,e,g,b,f,h,g,i,f,g,a,h,b,b,h,g,f,h,c4
b,a,b,j,b,g,b,d,h,b,d,h,e,d,c,b,b,c,e,j,d,f,e,d,f,b,c,i,b,e,c2
f,f,b,f,d,h,i,i,e,h,a,i,j,h,h,a,j,h,a,b,f,f,e,b,h,f,d,i,b,j,c1
c,a,f,g,e,f,c,i,h,g,g,b,h,f,h,g,b,c,e,b,h,h,h,j,j,f,i,e,a,f,c3
a,b,e,i,d,g,j,h,h,j,d,g,d,d,f,b,f,h,f,a,g,i,f,h,b,b,h,f,f,h,c4
c,a,f,f,f,b,c,e,h,a,d,d,h,d,e,f,b,c,b,b,e,f,h,j,a,f,i,e,e,f,c3
d,i,g,i,f,d,g,g,d,c,d,a,d,h,e,b,f,h,h,j,c,g,j,h,b,b,b,a,f,h,c4
b,d,g,i,e,f,b,d,d,d,d,c,d,b,h,b,f,h,a,h,d,a,e,h,b,b,h,j,f,h,c4
c,a,f,b,i,e,c,d,h,i,c,i,g,j,d,e,b,g,g,b,c,g,h,j,h,f,i,e,h,a,c3
b,f,b,f,f,i,b,h,e,b,a,i,g,b,h,a,g,d,f,b,f,f,e,a,d,f,e,j,b,h,c1
c,c,f,d,b,b,b,d,h,b,d,j,d,d,g,c,i,c,f,j,d,c,i,a,f,b,c,e,f,c,c2
e,f,b,f,b,e,h,i,g,c,a,f,c,e,h,a,d,j,e,b,a,f,e,h,i,f,h,i,b,a,c1
c,f,b,f,e,e,c,g,c,a,a,j,a,d,h,a,f,b,f,b,a,f,e,c,b,f,b,a,b,i,c1
g,a,e,i,g,i,e,c,c,h,d,e,d,j,b,b,f,h,d,j,i,c,e,h,b,b,i,g,f,h,c4
b,c,h,d,b,d,b,d,h,b,d,h,e,d,h,e,f,c,a,j,e,f,a,d,f,b,j,a,g,g,c2
j,f,e,b,b,e,b,d,h,b,d,h,h,d,d,g,g,c,f,j,j,b,b,c,f,b,h,i,b,c,c2
d,f,c,c,b,j,b,d,h,b,d,b,d,d,c,g,f,c,b,j,f,a,f,h,f,b,i,b,j,g,c2
h,h,i,i,d,i,h,h,a,e,d,e,d,i,a,b,f,h,a,i,a,j,a,h,b,b,a,h,f,h,c4
i,c,d,i,f,c,g,j,d,a,d,i,d,c,j,b,f,h,d,a,e,d,d,h,b,b,b,b,f,h,c4
d,i,a,f,d,g,c,j,f,d,a,c,b,d,f,d,e,f,a,i,a,e,e,e,c,f,j,f,f,c,c5
d,i,d,i,j,f,c,g,f,g,b,c,i,d,e,b,e,b,a,c,j,b,e,a,c,f,c,f,e,f,c5
d,i,b,e,j,c,c,d,f,c,a,c,g,d,d,a,e,c,a,f,d,i,e,f,c,f,i,e,h,e,c5
d,i,f,e,f,j,c,c,f,a,d,c,f,d,h,g,e,g,a,f,c,e,e,c,c,f,b,h,e,f,c5
i,i,d,g,b,a,b,d,h,b,d,h,i,d,i,h,h,c,g,j,a,i,a,j,f,b,a,d,g,g,c2
c,a,f,j,e,f,c,i,h,j,g,c,f,h,f,i,b,f,j,b,g,c,h,j,g,f,i,d,j,c,c3
g,f,b,f,b,d,b,g,g,f,a,g,j,g,h,a,b,j,c,b,f,f,e,g,e,f,d,b,b,i,c1
c,a,f,d,g,i,c,e,h,b,g,e,e,h,f,i,b,d,i,b,b,i,h,j,c,f,i,d,f,e,c3
b,c,i,i,d,a,e,h,e,h,d,h,d,a,b,b,f,h,j,c,e,h,j,h,b,b,i,i,f,h,c4
c,e,f,i,b,f,a,f,f,f,d,g,d,c,f,b,f,h,f,i,d,b,j,h,b,b,g,d,f,h,c4
c,a,f,h,g,d,c,d,h,e,g,a,j,i,c,j,b,h,c,b,e,c,h,j,e,f,i,c,a,c,c3
c,a,f,g,d,j,c,f,h,a,c,e,f,f,g,i,b,j,j,b,g,b,h,j,c,f,i,g,i,c,c3
a,f,b,f,g,g,j,b,i,h,a,j,d,b,h,a,c,i,d,b,a,f,e,i,e,f,i,h,b,b,c1
c,a,f,c,h,d,c,b,h,d,f,c,h,a,j,a,b,a,d,b,j,a,h,j,e,f,i,c,h,c,c3
d,b,i,f,b,c,b,d,h,b,d,a,j,d,h,c,f,c,i,j,j,a,i,g,f,b,i,b,e,g,c2
c,a,f,e,c,i,c,b,h,c,a,j,a,f,h,g,b,j,d,b,b,h,h,j,j,f,i,f,c,c,c3
i,a,i,c,b,a,b,d,h,b,d,i,j,d,f,f,d,c,a,j,j,c,i,h,f,b,j,a,d,d,c2
d,i,h,h,f,i,c,c,f,a,c,c,a,d,b,e,e,g,a,g,a,g,e,g,c,f,b,a,e,h,c5
f,f,b,f,d,f,b,d,g,j,a,a,d,f,h,a,c,d,e,b,e,f,e,b,d,f,h,d,b,b,c1
j,f,b,f,a,a,g,e,h,i,a,h,b,h,h,a,h,d,a,b,j,f,e,c,i,f,b,g,b,a,c1
e,e,h,i,i,c,h,a,a,j,d,d,d,g,j,b,f,h,c,g,f,c,i,h,b,b,h,c,f,h,c4
c,a,f,d,j,b,c,g,h,j,c,d,a,h,f,b,b,f,e,b,h,e,h,j,i,f,i,g,i,j,c3
d,f,b,f,e,a,c,a,e,g,a,d,j,h,h,a,j,f,i,b,e,f,e,g,b,f,f,e,b,h,c1
a,e,i,i,b,b,b,d,h,b,d,f,g,d,f,h,d,c,b,j,d,g,c,g,f,b,a,h,f,d,c2
h,a,i,i,a,f,g,g,c,a,d,a,d,c,f,b,f,h,h,j,d,d,j,h,b,b,h,i,f,h,c4
d,i,g,f,b,g,c,f,f,c,a,c,a,d,e,e,e,f,a,h,a,a,e,d,c,f,j,e,h,c,c5
c,a,f,d,c,j,c,j,h,i,g,a,d,c,e,c,b,h,e,b,d,j,h,j,c,f,i,j,d,g,c3
d,i,b,a,h,b,c,g,f,j,c,c,h,d,f,h,e,b,a,d,i,i,e,i,c,f,g,h,d,j,c5
