@relation data2

@attribute A {w,au,bx,cn,co,u,an,ca,ag,ak,q,o,cs,t,n,bs,aa,cj,be,br,ct,aw,ai,ah,z,l,cb,cu,bp,ck,a,cv,j,cd,cm,ba,ch,ap,aj,bq,cg,bk,am,h,bu,bt,g,cl,as,bf,bi,av,bj,e,bb,bl,at,ad,af,cr,cf,bg,ar,ab,k,ci,aq,ax,bh,v,az,ao,i,bd,c,bm,m,b,r,ae,bo,by,bw,f,d,cq,ce,bc,bv,bn,ac,y,al,p,s,bz,cc,ay}
@attribute B {ch,bz,a,i,bt,j,bl,bj,co,ac,ad,ai,af,aq,bu,l,cr,au,bk,y,ak,x,av,q,cu,bh,ci,bg,at,r,be,an,c,bf,u,bd,az,bw,bs,f,cm,p,k,cs,cl,g,bv,b,cp,bq,ao,by,s,ce,bm,cj,d,bo,ap,ba,bi,n,bx,cb,ay,cn,as,bc,al,h,m,cd,cq,ca,aa,cv,cf,z,aw,bp,t,cc,am,ar,aj,ab,o,cg,ah,bb,v,bn,e,ct,ck,w,ae,ax,ag,br}
@attribute C {s,ah,ai,y,af,be,cg,j,ce,bs,cq,bp,o,t,k,ct,as,ay,c,cn,bk,ag,bf,ch,cr,d,bz,cl,z,b,ac,i,cm,az,bo,at,ci,l,ap,x,bu,al,cu,cc,bl,ck,ao,ad,cf,by,co,n,bi,am,p,bw,m,ba,bb,bv,ca,aj,bd,cs,cd,bm,f,au,bj,bh,ak,an,u,bc,ae,cb,e,ar,bq,h,ab,aq,br,v,bx,bg,a,q,aw,cp,av,bn,g,r,bt,ax,cv}
@attribute D {an,bv}
@attribute E {cd,w,aa,v,bp,aj,co,cr,af,z,ch,ay,bo,ai,cs,cl,m,ba,bk,cj,d,r,ap,bs,br,l,ct,i,cc,cq,ae,au,bx,cm,o,bj,bv,f,c,be,cu,ca,b,av,x,bz,ac,cf,at,cn,ao,bm,bi,az,ci,g,bn,ag,bd,by,bl,am,ak,ax,cg,t,y,a,ad,k,h,aq,bq,ce,p,al,ck,bg,j,bu,an,u,bc,bt,bh,cv,s,bf,q,cp,bw,n,ab,ar,e,aw,cb}
@attribute F {bc,ar,ay,q,a,bx,as,bw,f,cm,p,cu,o,ct,r,k,bk,at,au,bg,bp,ao,e,av,bn,az,cp,be,bi,bb,ae,bo,cs,br,j,bs,g,m,h,cj,ce,cf,cq,v,am,bv,s,cl,cg,ad,ai,y,bq,x,n,ch,by,bh,l,d,b,aw,ck,bz,u,ax,bt,cc,i,aj,bj,ca,cn,ba,ah,bf,bl,ac,t,aa,aq,c,al,cb,bd,z,cv,ab,ci,an,bu,cd,co,cr,af,w,bm,ap,ak,ag}
@attribute G {bn,y,g,m,ax,k,az,ca,cb,h,bj,bv,cl,cs,bf,e,cq,i,z,ch,ct,as,w,ae,at,aw,f,ah,ac,bt,bz,cf,cc,cv,bq,ba,ab,r,cp,a,v,cu,bc,bg,bh,bd,ck,t,ao,bb,ce,am,ak,cr,l,c,o,bo,an,bp,s,ap,x,ay,cn,bu,ci,cg,cm,j,al,bs,n,bm,co,q,by,p,cd,bi,aa,au,bw,bl,aq,ag,bk,be,cj,ad,b,ar,ai,af,u,br,aj,av,d}
@attribute H {ax,bv,bq,be,d,ar,an,bf,bh,ah,t,cu,ck,cd,x,i,f,cl,bk,aj,y,bu,aw,ce,as,p,w,cn,ab,a,ct,cc,bg,cf,cv,s,ac,bb,bj,bx,bc,bs,z,o,q,cj,b,bd,r,au,cp,bt,aa,ad,bm,bw,k,n,al,at,ap,cg,ae,ao,j,ak,by,h,cr,ci,bp,bo,am,ba,bl,e,cs,cq,ca,bi,m,ay,br,c,ch,v,aq,ag,g,cm,l,u,av,cb,bz,af,ai,bn,az,co}
@attribute I {j,af,bm,bz,x,bw,ab,cn,bd,bi,bp,cd,m,q,w,bb,cc,cb,ao,ag,y,bs,bx,bf,aj,bu,bg,g,cm,ad,bc,cu,co,r,bn,bv,c,f,ae,ah,ac,bj,ay,aw,d,cf,i,z,ck,aq,u,cg,an,cj,ba,az,bo,cr,ap,bl,s,t,l,al,br,bt,be,ch,ca,bk,av,am,ce,ak,n,ct,b,cq,p,aa,bh,k,as,cp,bq,v,o,cl,by,ax,at,a,cs,au,h,ci,ai,ar,cv}
@attribute J {h,ax,ct,cm,v,bo,bp,aw,bf,o,x,bv,aa,br,ai,cl,j,bc,i,af,m,an,u,ce,r,bl,ay,at,az,ac,cb,au,e,bn,s,bu,al,ap,t,l,cc,ca,bz,b,co,f,bj,av,ba,cr,bq,bb,be,aj,ch,ar,bh,cp,cf,c,cj,q,bt,ah,cv,cs,y,ab,bw,ad,bx,a,cg,z,as,cu,bg,ae,k,w,ao,d,ck,ak,bk,ci,bm,g,p,ag,cn,cq,cd,am,n,bd,by,aq,bi,bs}
@attribute K {bh,as,v,cj,p,bu,x,bq,g,ay,t,ci,bm,ar,ai,bg,a,cc,y,aa,by,bk,l,cq,n,h,i,ag,ae,r,aw,cp,am,cb,ah,an,w,aq,bi,bn,br,bl,cm,o,b,co,q,cv,cr,be,bz,cf,bx,j,ca,ax,bf,al,au,bw,bt,ad,bv,f,m,bo,c,bc,cg,cu,az,z,cl,ao,aj,ac,bj,bs,d,ba,k,s,cd,cn,e,cs,ct,ck,bb,bp,at,ak,af,ce,ab,ap,ch,bd,u,av}
@attribute L {b,aq,af,al,bm,cc,y,ag,s,ba,co,ca,cv,u,l,aj,ct,v,cm,cr,bk,bi,am,bo,ao,i,bz,as,ah,o,bl,cl,d,a,ch,cq,c,bf,br,cs,ay,n,an,cj,ck,ai,cn,cb,ad,r,aw,m,au,bg,bt,bx,k,be,cp,bp,bw,bc,cf,x,ar,cg,by,ak,cd,ae,bn,q,h,bu,bd,at,bj,av,az,ab,aa,ap,bb,p,f,e,ci,bh,w,cu,ce,j,ax,g,ac,t,bq,bs,bv,z}
@attribute M {v,aq,bh,t,bt,cf,p,ao,ba,z,cu,b,bb,cs,ar,aw,ce,g,cp,cc,br,ag,m,e,bd,k,ck,n,cm,ci,cr,by,cg,l,d,co,bw,cn,bk,a,az,am,o,ca,ak,af,cj,cq,c,an,ap,h,ct,y,f,ay,bv,aj,bx,av,ch,ah,bp,bz,bn,bc,ai,bi,i,cv,w,ad,bu,bj,j,bm,au,at,s,r,bs,q,aa,bq,bf,cb,al,cd,bg,x,be,ax,u,ab,ac,ae,bl,cl,bo,as}
@attribute N {cb,bo,x,bv,v,u,ae,cj,ap,bq,g,cd,bd,aa,k,cc,be,bf,br,cm,at,co,ag,cu,cr,by,bc,bi,af,cl,bm,bn,w,ak,ci,d,bp,aq,bb,i,au,cs,ac,s,bj,aw,bh,j,f,ca,bg,t,aj,bz,r,q,n,bk,ab,cn,ba,b,cv,az,cp,ax,cg,bl,o,an,z,ay,l,a,h,c,bt,as,ao,ai,ch,bs,bw,am,ad,p,y,cq,e,bu,ct,m,ck,av,ah,al,bx,ce,cf,ar}
@attribute O {v,bl,cc,aa,bu,ca,ce,bq,cg,w,cb,ba,ay,i,co,cv,cq,bv,bh,z,q,m,g,as,bg,bs,f,cr,bz,bj,cu,t,o,az,bt,c,cf,ci,ae,ck,d,ao,a,bn,bc,cl,by,n,r,cn,bk,aj,ar,cm,s,af,cs,bw,cj,ai,x,j,aw,ct,bp,ax,ch,aq,cd,u,bm,br,l,av,be,bb,bf,k,cp,y,b,bi,au,am,ag,bd,ap,ab,ah,bx,e,ad,an,al,ak,bo,p,at,ac,h}
@attribute Class {c1,c2}

@data
bx,cr,ad,bv,aa,ca,n,cj,bz,ct,cv,af,cl,j,al,c2
bx,ai,ct,bv,aa,bm,u,o,cn,ct,u,af,ax,ad,ck,c2
bx,cr,bi,bv,aa,ag,bq,o,k,ct,af,af,bb,bd,u,c2
s,f,s,an,ap,f,bn,ax,j,bw,cl,cv,s,d,w,c1
bx,aw,bm,bv,aa,j,bu,al,ad,ct,br,af,bt,co,bt,c2
bx,at,bl,bv,aa,br,as,ak,ar,ct,i,af,n,c,z,c2
ak,af,s,an,ca,bn,bn,ax,j,cq,l,cu,ce,z,k,c1
bx,av,by,bv,aa,cp,cr,ck,aj,ct,ad,af,d,cp,cc,c2
cb,o,s,an,cd,bj,bn,ax,j,bd,be,ah,cv,n,d,c1
bx,bj,n,bv,aa,cd,z,ck,ch,ct,e,af,bt,ap,k,c2
bx,u,ch,bv,aa,bw,af,p,i,ct,bb,af,ce,bz,cr,c2
bx,k,au,bv,aa,ce,cr,am,s,ct,cg,af,i,bf,bb,c2
bx,bv,s,an,bq,ar,bn,ax,j,ag,ap,bw,af,cc,k,c1
bx,ax,o,bv,aa,a,b,az,cb,ct,cj,af,cq,cu,bm,c2
bx,bw,ay,bv,aa,y,m,bj,af,ct,ai,af,au,ap,av,c2
bx,bd,ba,bv,aa,cd,cv,av,bt,ct,ce,af,af,bx,cn,c2
bx,bs,co,bv,aa,ck,ca,bi,w,ct,ch,af,s,l,ab,c2
bt,bm,s,an,z,m,bn,ax,j,bl,ad,cb,bp,cs,ch,c1
bx,bk,ca,bv,aa,x,by,ai,s,ct,ct,af,ca,cc,au,c2
bx,y,as,bv,aa,g,bg,j,p,ct,as,af,br,r,cc,c2
bx,cm,bl,bv,aa,cc,bu,l,bo,ct,x,af,bz,bf,bu,c2
bx,m,aq,bv,aa,b,av,t,an,ct,v,af,ck,an,c,c2
bx,bj,al,bv,aa,u,ct,as,ci,ct,c,af,ad,bv,bd,c2
bx,bg,bx,bv,aa,ar,h,bs,j,ct,bt,af,ca,d,bh,c2
bx,bo,al,bv,aa,k,a,bx,q,ct,cl,af,cf,bd,ce,c2
m,al,s,an,bm,cf,bn,ax,j,n,z,aq,ct,ak,aw,c1
bx,v,bp,bv,aa,s,bn,cl,ca,ct,r,af,bd,ac,ag,c2
cv,bg,s,an,y,bb,bn,ax,j,aq,bf,aa,bp,cq,bb,c1
bx,m,cn,bv,aa,bb,bj,cr,ch,ct,bh,af,co,co,cl,c2
an,aj,s,an,cf,bp,bn,ax,j,af,be,bl,x,bf,bg,c1
bd,bi,s,an,bm,o,bn,ax,j,r,v,m,cu,p,bc,c1
m,ba,s,an,x,cn,bn,ax,j,ai,ai,aw,j,q,ao,c1
ao,ce,s,an,bw,bu,bn,ax,j,cm,ab,bj,ci,k,j,c1
bx,cr,bt,bv,aa,ap,h,au,ct,ct,cb,af,bq,o,cr,c2
bx,cg,ae,bv,aa,br,ag,f,s,ct,at,af,cr,ab,cd,c2
bx,a,bo,bv,aa,bb,ao,ci,au,ct,ak,af,cc,cm,ag,c2
bx,au,ci,bv,aa,ax,x,b,bt,ct,cv,af,am,y,bk,c2
ah,bd,s,an,bk,cb,bn,ax,j,bp,as,al,cu,bj,b,c1
bx,ah,cb,bv,aa,cv,i,cd,cu,ct,aa,af,j,bl,ae,c2
bx,t,bo,bv,aa,az,bu,cb,bn,ct,cm,af,x,k,cq,c2
bx,e,q,bv,aa,aj,u,bj,bw,ct,p,af,r,bv,r,c2
ci,cv,s,an,cq,bz,bn,ax,j,d,ag,an,cd,y,bv,c1
bx,ax,ck,bv,aa,ci,cf,ce,k,ct,cq,af,cm,ar,cj,c2
ci,ak,s,an,b,h,bn,ax,j,p,ac,al,an,z,ca,c1
bx,n,cf,bv,aa,af,bq,ah,aj,ct,ct,af,cv,cl,bh,c2
l,bk,s,an,aq,s,bn,ax,j,x,am,bh,ac,bd,bg,c1
cm,bp,s,an,ay,ac,bn,ax,j,aj,cc,bl,bc,am,aj,c1
bx,bf,bi,bv,aa,cd,ae,cb,bv,ct,ah,af,cu,bi,ch,c2
bx,au,as,bv,aa,cr,an,bk,ar,ct,s,af,s,ct,cd,c2
cq,bw,s,an,cq,ax,bn,ax,j,l,bw,aa,cb,o,cg,c1
bx,aq,e,bv,aa,cr,cp,bq,l,ct,ay,af,cp,ah,j,c2
f,bw,s,an,ae,o,bn,ax,j,am,b,ac,cc,be,bc,c1
ap,bu,s,an,d,bl,bn,ax,j,s,e,bz,af,al,j,c1
bx,w,cn,bv,aa,cs,ac,d,c,ct,co,af,cr,bn,f,c2
bx,cj,y,bv,aa,af,cj,b,k,ct,bq,af,h,j,cf,c2
ah,cm,s,an,bd,a,bn,ax,j,bt,ag,ad,am,al,bx,c1
cr,bn,s,an,bo,k,bn,ax,j,bm,ay,ac,v,l,ak,c1
ac,aj,s,an,z,cv,bn,ax,j,bd,as,az,co,m,bz,c1
aq,at,s,an,ci,bk,bn,ax,j,cg,bw,am,bl,be,bp,c1
bs,bp,s,an,f,ck,bn,ax,j,cu,au,bv,cj,b,w,c1
bx,al,f,bv,aa,aa,al,bf,cv,ct,bs,af,i,bf,c,c2
bd,b,s,an,z,br,bn,ax,j,bv,bd,cc,cl,bb,bk,c1
bx,cf,bc,bv,aa,ap,k,bz,bm,ct,cv,af,bw,j,av,c2
bx,c,bf,bv,aa,b,bp,ck,y,ct,x,af,u,aj,w,c2
o,cn,s,an,bc,t,bn,ax,j,ci,br,x,c,as,bz,c1
ck,e,s,an,l,cb,bn,ax,j,y,ab,m,ch,az,av,c1
m,n,s,an,n,p,bn,ax,j,s,cq,u,l,f,ak,c1
bx,ae,x,bv,aa,ci,q,l,bf,ct,bt,af,aq,bi,al,c2
y,g,s,an,av,au,bn,ax,j,bf,al,az,bq,cu,ci,c1
i,ch,s,an,am,bp,bn,ax,j,d,bq,v,bj,av,ct,c1
bx,ah,cf,bv,aa,m,aq,bp,cj,ct,cr,af,ah,bp,bf,c2
bx,ax,bq,bv,aa,cd,k,bh,cn,ct,n,af,ao,co,ca,c2
cg,ar,s,an,bk,bm,bn,ax,j,w,bx,bk,y,at,az,c1
ar,ak,s,an,bq,bw,bn,ax,j,bs,at,aw,g,cf,ae,c1
bx,cv,j,bv,aa,bm,bw,a,s,ct,e,af,aw,v,aw,c2
bx,bq,bc,bv,aa,w,cp,a,f,ct,e,af,bq,al,at,c2
bx,bz,n,bv,aa,l,as,aa,bj,ct,al,af,bj,cl,bi,c2
m,e,s,an,br,h,bn,ax,j,bm,bk,ak,bp,bh,r,c1
bx,t,ck,bv,aa,ar,bs,ba,v,ct,ct,af,cn,v,cq,c2
bx,ci,v,bv,aa,bg,ca,d,ag,ct,bt,af,bk,i,ch,c2
bx,bc,cr,bv,aa,k,be,bi,ar,ct,g,af,cj,f,bi,c2
bx,an,an,bv,aa,u,bf,cn,x,ct,bl,af,ac,j,d,c2
bx,bv,ae,bv,aa,ad,o,cj,cr,ct,bj,af,aj,t,ch,c2
bx,cn,k,bv,aa,cv,cq,br,t,ct,cc,af,cd,bl,ce,c2
co,bw,s,an,y,cs,bn,ax,j,d,cl,az,ct,bn,by,c1
aq,ax,s,an,ai,y,bn,ax,j,bo,bf,as,m,h,bn,c1
cu,be,s,an,cc,a,bn,ax,j,n,ba,bc,w,aq,cn,c1
bx,cj,j,bv,aa,co,ay,co,z,ct,aa,af,bn,bu,bt,c2
m,cp,s,an,bt,bu,bn,ax,j,au,al,be,bt,ce,bc,c1
bx,cs,cs,bv,aa,ab,by,bw,bv,ct,bz,af,d,cq,bz,c2
aq,av,s,an,ag,az,bn,ax,j,cn,cd,ak,w,j,bz,c1
bs,as,s,an,e,t,bn,ax,j,k,au,n,af,n,bs,c1
bx,bm,s,an,az,ch,bn,ax,j,r,cs,bd,cm,ch,af,c1
h,b,s,an,bj,cj,bn,ax,j,ak,bc,ae,d,aj,u,c1
ao,h,s,an,ay,aj,bn,ax,j,u,u,s,r,bi,aa,c1
ce,bt,s,an,cd,n,bn,ax,j,as,bn,av,cg,ce,av,c1
bx,cg,ac,bv,aa,ag,u,ap,bv,ct,bw,af,ch,q,ad,c2
ct,ck,s,an,g,d,bn,ax,j,bi,s,bt,e,cr,cu,c1
bx,cr,v,bv,aa,aa,aj,cb,i,ct,an,af,e,t,a,c2
cn,v,s,an,cj,p,bn,ax,j,ac,be,cs,be,ak,j,c1
av,cg,s,an,bd,cl,bn,ax,j,bz,aq,cq,g,bc,br,c1
bx,at,cq,bv,aa,v,ar,p,aj,ct,ah,af,co,ap,cp,c2
bx,m,am,bv,aa,o,j,w,co,ct,bm,af,ag,cc,t,c2
cj,q,s,an,bz,al,bn,ax,j,bk,ag,ci,bp,bm,h,c1
bx,ae,cb,bv,aa,bl,av,b,an,ct,ba,af,q,bi,w,c2
bx,o,bd,bv,aa,bv,az,bd,ai,ct,as,af,bu,bz,ao,c2
ab,bw,s,an,al,s,bn,ax,j,bm,bj,r,bh,o,bt,c1
au,cq,s,an,k,bp,bn,ax,j,ad,bn,ac,u,bs,ce,c1
bx,bi,bd,bv,aa,bv,t,ck,ak,ct,ck,af,m,ay,bu,c2
ay,a,s,an,an,ah,bn,ax,j,cn,be,bf,w,co,x,c1
ah,e,s,an,y,ag,bn,ax,j,bo,av,ac,ai,i,aj,c1
ak,ck,s,an,s,ck,bn,ax,j,bt,u,z,m,cu,v,c1
af,ak,s,an,cn,az,bn,ax,j,bh,ai,ae,bt,cq,m,c1
ae,o,s,an,ca,e,bn,ax,j,cu,an,ag,bo,aq,e,c1
au,ax,s,an,cj,ch,bn,ax,j,ai,y,t,e,v,at,c1
ai,ab,s,an,cv,ab,bn,ax,j,ca,ac,f,br,bp,av,c1
ag,ae,s,an,bk,bw,bn,ax,j,bk,bt,cq,t,al,bk,c1
az,ah,s,an,o,ad,bn,ax,j,g,bd,bh,bz,ay,bu,c1
bx,ag,cv,bv,aa,am,ay,bp,at,ct,ai,af,aw,bt,bs,c2
ca,bi,s,an,ap,z,bn,ax,j,j,bs,bu,t,an,ag,c1
bx,ad,be,bv,aa,p,by,bb,cn,ct,c,af,ac,ay,n,c2
bx,cm,bk,bv,aa,y,cc,ch,bs,ct,j,af,f,aq,q,c2
co,m,s,an,y,cv,bn,ax,j,bz,az,bi,ai,av,q,c1
bx,g,bt,bv,aa,an,bl,q,bu,ct,cu,af,bu,n,ai,c2
bx,bo,bb,bv,aa,z,bu,au,ae,ct,ct,af,ah,ct,cr,c2
bx,cj,cu,bv,aa,an,ag,ak,ci,ct,ah,af,ab,co,aa,c2
bx,ci,ba,bv,aa,bi,m,p,ba,ct,cg,af,d,ao,bi,c2
bx,ah,bm,bv,aa,bh,ad,y,cu,ct,bt,af,an,al,be,c2
m,cb,s,an,u,ah,bn,ax,j,au,bl,ci,cc,al,bu,c1
bx,ag,v,bv,aa,as,aa,ay,ad,ct,ce,af,w,j,u,c2
bx,e,bc,bv,aa,br,bu,au,bj,ct,m,af,bv,h,g,c2
bx,bd,u,bv,aa,bj,p,i,bh,ct,w,af,bq,bb,aq,c2
ad,cp,s,an,bz,by,bn,ax,j,k,aq,bp,ct,as,bi,c1
ci,b,s,an,aw,am,bn,ax,j,cb,bm,c,bx,ah,cm,c1
cv,p,s,an,bn,u,bn,ax,j,bs,av,al,cb,az,bp,c1
bx,bi,an,bv,aa,by,bs,v,k,ct,ay,af,n,bi,bz,c2
bx,y,cp,bv,aa,bf,br,cg,j,ct,ak,af,ch,be,bq,c2
bx,ag,bz,bv,aa,cg,cu,cf,k,ct,cu,af,c,bt,cc,c2
bx,am,af,bv,aa,bn,bo,bg,cn,ct,p,af,v,an,bs,c2
bx,bj,aw,bv,aa,ck,co,au,ci,ct,aj,af,r,j,al,c2
bx,p,bj,bv,aa,r,al,cb,cg,ct,av,af,as,av,bu,c2
bx,ae,cm,bv,aa,bq,bz,cn,d,ct,ch,af,d,av,cf,c2
bx,bb,bt,bv,aa,bj,m,d,bm,ct,bn,af,be,ab,ch,c2
bc,bq,s,an,ct,bh,bn,ax,j,o,bz,cu,ad,q,ar,c1
bx,cl,br,bv,aa,ar,cn,ak,f,ct,be,af,l,ab,f,c2
cu,m,s,an,aq,ck,bn,ax,j,bt,o,cs,al,cb,bt,c1
b,x,s,an,am,ah,bn,ax,j,j,g,ae,cu,ae,ci,c1
al,cp,s,an,cv,bv,bn,ax,j,ai,bk,am,aq,f,az,c1
bx,ai,cb,bv,aa,ct,bn,af,ct,ct,p,af,am,bg,bw,c2
ao,bq,s,an,k,bh,bn,ax,j,bs,cp,ap,w,cl,am,c1
bx,ak,m,bv,aa,bq,at,ab,bh,ct,bm,af,bf,a,ad,c2
bx,bx,bd,bv,aa,m,bi,bf,cn,ct,bc,af,bh,bx,bm,c2
bu,j,s,an,ba,bp,bn,ax,j,y,br,an,cd,k,l,c1
ce,au,s,an,aj,ba,bn,ax,j,bv,cs,av,bp,z,cd,c1
bc,cb,s,an,at,aa,bn,ax,j,cc,bq,t,cq,am,bh,c1
bx,ad,r,bv,aa,ay,i,c,ar,ct,l,af,cb,ck,bu,c2
cu,bx,s,an,cb,ay,bn,ax,j,i,g,ce,z,aa,af,c1
bx,bt,bg,bv,aa,ba,bo,bg,cl,ct,at,af,q,t,cs,c2
bx,ac,ap,bv,aa,ck,i,bx,x,ct,be,af,b,ag,an,c2
bx,u,v,bv,aa,cb,cj,aq,bo,ct,u,af,n,cm,j,c2
bx,bb,ca,bv,aa,ay,ci,bt,w,ct,aa,af,y,aa,ak,c2
bx,ca,y,bv,aa,as,bi,ba,k,ct,p,af,af,bm,g,c2
bx,br,bu,bv,aa,s,cs,bz,ap,ct,n,af,o,m,k,c2
j,bt,s,an,i,bb,bn,ax,j,l,bt,ch,x,ax,av,c1
bx,e,am,bv,aa,n,bb,ar,av,ct,an,af,bz,y,aa,c2
by,cb,s,an,bw,v,bn,ax,j,b,bd,j,cm,t,h,c1
bx,ap,t,bv,aa,bd,k,bv,cv,ct,ad,af,ar,ao,bs,c2
z,cb,s,an,z,bn,bn,ax,j,ai,ao,ax,cg,v,d,c1
bu,ao,s,an,cn,by,bn,ax,j,bz,cg,cm,t,cb,av,c1
bx,av,m,bv,aa,x,bq,al,v,ct,aw,af,m,am,av,c2
bx,j,br,bv,aa,ae,p,p,co,ct,cf,af,ab,p,cc,c2
aq,bv,s,an,at,ap,bn,ax,j,f,j,bg,bx,at,ca,c1
bx,ba,az,bv,aa,ay,bo,ch,bs,ct,ce,af,ar,bp,bh,c2
bx,ai,n,bv,aa,cp,bt,m,ay,ct,ci,af,o,v,w,c2
bx,be,ax,bv,aa,i,cc,f,cn,ct,az,af,x,n,cr,c2
bx,ci,cu,bv,aa,bm,aj,ci,bx,ct,h,af,co,bc,w,c2
bx,bq,bf,bv,aa,u,bz,as,cr,ct,b,af,ar,ca,ab,c2
bz,h,s,an,l,bn,bn,ax,j,ax,bu,by,ce,ct,f,c1
aw,b,s,an,av,ba,bn,ax,j,af,as,d,j,at,w,c1
bx,bg,l,bv,aa,u,bq,ci,ad,ct,br,af,ck,w,r,c2
bx,ak,p,bv,aa,bx,ar,bs,ao,ct,be,af,ck,an,aq,c2
bx,i,ac,bv,aa,bv,au,ay,co,ct,az,af,by,y,co,c2
