@relation data_100_20_5_10_10_500

@attribute A1 {q,e,h,g,d,b,a,m,l,s,p,j,i,r,f,o,c,t,n,k}
@attribute A2 {n,c,k,a,d,o,q,s,t,r,e,p,g,f,i,m,j,h,b,l}
@attribute A3 {o,b,c,a,m,q,e,p,s,h,i,n,k,j,t,r,l,d,f,g}
@attribute A4 {h,q,b,l,t,g,p,j,e,o,k,m,r,d,f,s,n,c,a,i}
@attribute A5 {r,j,d,a,p,h,c,e,l,m,q,g,t,n,b,i,f,o,s,k}
@attribute A6 {t,a,q,k,s,h,f,m,i,r,o,l,d,j,c,b,p,g,n,e}
@attribute A7 {j,c,h,l,r,k,d,f,a,i,s,n,e,b,t,q,g,p,o,m}
@attribute A8 {s,j,h,a,q,n,d,r,p,c,m,t,k,e,o,f,i,g,l,b}
@attribute A9 {m,r,k,b,i,f,h,n,d,o,q,p,l,a,s,c,e,t,j,g}
@attribute A10 {d,a,o,h,j,s,t,e,l,c,m,k,r,b,n,g,q,f,p,i}
@attribute A11 {p,o,i,j,f,d,s,l,n,t,r,m,a,g,q,k,b,c,e,h}
@attribute A12 {t,r,q,e,i,k,s,j,b,a,d,f,g,c,h,l,o,p,n,m}
@attribute A13 {b,h,g,s,e,l,c,j,t,o,d,i,f,n,a,k,p,q,r,m}
@attribute A14 {l,t,o,r,m,s,p,f,c,a,g,n,q,h,k,j,d,e,i,b}
@attribute A15 {t,k,a,g,q,n,f,o,h,c,m,b,j,l,e,r,d,p,i,s}
@attribute A16 {j,a,d,f,p,c,k,e,i,n,q,l,h,g,s,r,t,o,b,m}
@attribute A17 {d,i,f,s,t,n,o,l,e,b,q,g,j,a,p,m,h,c,r,k}
@attribute A18 {g,c,i,n,r,f,o,s,a,q,b,h,m,l,j,t,k,d,p,e}
@attribute A19 {f,o,p,n,c,l,q,j,i,k,r,d,s,m,g,e,t,a,h,b}
@attribute A20 {e,g,a,m,f,s,t,p,l,o,q,j,d,b,c,n,r,h,i,k}
@attribute A21 {k,e,l,b,f,n,d,a,q,j,s,r,t,o,h,c,p,i,m,g}
@attribute A22 {o,f,r,q,j,d,t,p,i,l,m,n,g,s,a,c,k,h,e,b}
@attribute A23 {n,l,c,o,h,g,q,b,t,a,i,k,f,s,j,m,r,d,p,e}
@attribute A24 {t,f,m,g,a,h,s,i,e,n,k,c,b,j,r,l,o,q,d,p}
@attribute A25 {q,a,c,j,r,g,e,p,f,s,m,n,d,i,b,t,o,k,l,h}
@attribute A26 {c,f,g,q,d,j,m,i,n,s,l,b,o,k,h,a,r,t,p,e}
@attribute A27 {b,n,s,f,p,d,o,h,i,r,g,c,q,l,k,m,a,t,j,e}
@attribute A28 {o,t,r,l,k,q,i,n,c,h,f,g,s,j,d,p,b,m,a,e}
@attribute A29 {l,f,k,n,i,c,m,j,b,s,g,p,q,a,d,e,h,r,o,t}
@attribute A30 {s,k,c,g,q,e,h,f,p,d,t,a,r,o,b,i,l,n,j,m}
@attribute A31 {k,g,j,p,i,a,o,d,n,e,c,h,l,q,b,s,m,t,r,f}
@attribute A32 {d,l,m,j,a,c,k,g,r,s,p,b,q,o,t,i,n,h,f,e}
@attribute A33 {q,a,f,j,c,e,k,i,n,o,g,r,b,d,h,s,t,p,l,m}
@attribute A34 {t,a,p,b,l,s,n,f,r,k,e,j,o,m,q,g,d,c,i,h}
@attribute A35 {k,b,l,d,i,a,m,g,r,n,o,j,c,p,t,q,f,e,s,h}
@attribute A36 {o,m,h,d,c,f,t,i,e,r,n,q,b,j,l,p,s,a,k,g}
@attribute A37 {l,f,k,d,s,c,p,r,a,o,h,n,b,q,m,t,j,g,e,i}
@attribute A38 {l,p,n,j,b,g,a,t,h,r,c,f,d,o,i,k,q,m,s,e}
@attribute A39 {m,g,e,f,i,a,s,o,j,c,d,q,k,t,l,r,p,b,n,h}
@attribute A40 {o,f,r,b,d,q,h,e,l,j,a,n,t,k,m,p,c,s,i,g}
@attribute A41 {r,m,f,j,l,b,s,e,g,o,c,k,t,n,a,h,d,i,p,q}
@attribute A42 {j,b,m,h,d,g,k,r,n,q,l,f,t,e,s,a,p,c,o,i}
@attribute A43 {k,b,p,j,m,s,n,d,o,c,q,r,i,a,f,t,g,h,l,e}
@attribute A44 {t,n,q,f,k,b,g,r,c,i,d,s,l,m,a,h,o,e,j,p}
@attribute A45 {g,t,b,i,q,o,m,j,k,s,e,r,p,l,a,h,n,f,d,c}
@attribute A46 {c,t,h,f,k,q,b,d,l,s,i,p,n,g,r,m,e,o,j,a}
@attribute A47 {d,t,l,j,h,f,s,m,g,o,q,c,b,r,a,e,k,n,i,p}
@attribute A48 {r,s,i,q,c,a,b,f,j,g,t,l,o,n,m,k,e,d,p,h}
@attribute A49 {j,g,o,r,m,d,b,p,k,f,n,e,i,q,l,t,c,s,a,h}
@attribute A50 {h,l,g,t,p,m,f,a,i,r,b,s,d,k,q,c,o,e,j,n}
@attribute A51 {b,i,p,c,j,g,f,d,n,k,m,s,t,q,l,h,o,a,r,e}
@attribute A52 {k,j,q,n,l,a,p,e,m,s,t,g,c,o,f,b,d,r,i,h}
@attribute A53 {t,r,o,d,e,g,n,c,b,s,k,j,f,a,l,i,m,q,p,h}
@attribute A54 {b,t,k,f,q,g,m,r,c,d,a,j,l,p,o,h,e,n,i,s}
@attribute A55 {f,h,k,o,m,t,l,j,i,e,q,c,g,p,n,a,s,d,r,b}
@attribute A56 {r,n,g,c,l,j,h,e,b,s,p,t,f,a,d,k,m,o,i,q}
@attribute A57 {t,a,n,j,g,i,q,k,r,p,l,s,m,h,b,c,e,f,o,d}
@attribute A58 {t,r,f,m,h,c,o,s,g,k,n,d,b,i,q,l,p,j,e,a}
@attribute A59 {k,l,p,g,b,r,n,j,c,m,s,o,f,h,e,i,t,a,q,d}
@attribute A60 {c,r,h,j,m,g,s,k,o,f,i,d,a,p,e,t,l,n,b,q}
@attribute A61 {f,n,j,r,k,p,a,q,i,m,b,t,e,h,c,l,o,s,g,d}
@attribute A62 {b,e,l,j,d,k,f,r,n,c,i,a,s,g,q,m,h,o,t,p}
@attribute A63 {b,r,p,j,a,l,m,o,f,q,i,n,c,g,e,d,h,s,k,t}
@attribute A64 {k,l,n,m,s,i,h,b,c,t,j,d,r,q,p,o,g,f,a,e}
@attribute A65 {q,m,j,k,t,o,l,h,c,a,s,b,p,i,r,d,e,g,f,n}
@attribute A66 {t,j,k,g,i,c,s,o,h,e,d,b,f,a,r,n,p,l,q,m}
@attribute A67 {i,f,n,q,l,b,e,o,s,r,m,g,d,j,h,c,k,a,t,p}
@attribute A68 {a,m,r,h,j,p,k,q,e,d,c,i,n,b,l,s,o,g,f,t}
@attribute A69 {c,a,t,l,b,s,e,f,m,k,n,q,r,j,p,i,d,g,h,o}
@attribute A70 {b,p,d,q,a,m,k,c,f,r,n,g,l,s,i,e,o,j,h,t}
@attribute A71 {p,h,s,n,m,k,q,f,e,l,d,o,j,t,g,i,c,b,r,a}
@attribute A72 {p,q,t,n,k,f,l,s,a,j,d,m,c,e,r,g,b,h,o,i}
@attribute A73 {t,j,g,s,h,k,n,f,q,a,o,l,e,d,b,c,i,r,m,p}
@attribute A74 {j,g,n,d,a,t,h,q,b,o,r,c,m,p,k,f,e,l,s,i}
@attribute A75 {h,e,o,p,k,f,a,c,s,d,t,n,i,m,b,g,r,l,j,q}
@attribute A76 {p,f,g,h,a,o,n,c,e,s,m,r,k,i,b,t,l,q,j,d}
@attribute A77 {p,f,b,s,d,h,g,a,i,n,k,t,l,q,e,o,m,j,c,r}
@attribute A78 {n,p,q,d,s,b,l,j,c,t,e,r,i,h,o,m,k,f,a,g}
@attribute A79 {q,r,j,s,o,n,a,t,m,b,l,h,k,d,e,c,p,f,g,i}
@attribute A80 {k,h,l,p,s,r,n,b,t,i,f,d,m,o,e,a,g,q,j,c}
@attribute A81 {a,t,s,p,b,r,g,j,e,q,f,c,d,n,h,m,l,i,o,k}
@attribute A82 {k,d,m,e,o,l,t,c,g,a,s,n,p,q,j,i,h,r,f,b}
@attribute A83 {t,i,e,m,o,s,d,l,h,n,g,q,k,f,a,b,c,r,p,j}
@attribute A84 {a,j,d,f,n,t,q,m,r,p,o,h,l,k,g,c,b,s,e,i}
@attribute A85 {l,q,n,c,t,r,a,e,m,j,g,o,p,h,s,f,k,b,d,i}
@attribute A86 {a,c,k,d,t,o,f,q,l,m,b,n,h,e,j,p,i,r,s,g}
@attribute A87 {a,b,e,i,s,h,o,j,m,d,c,f,g,n,p,r,l,k,t,q}
@attribute A88 {b,o,s,f,j,c,e,r,m,p,l,k,h,n,t,a,g,i,q,d}
@attribute A89 {n,e,o,b,l,m,f,j,g,d,i,s,p,c,q,k,t,h,r,a}
@attribute A90 {l,j,n,s,p,a,c,g,h,m,e,r,t,b,f,o,k,i,d,q}
@attribute A91 {j,a,e,k,d,q,n,b,o,p,t,f,i,h,l,r,s,m,c,g}
@attribute A92 {i,e,f,c,r,s,d,a,m,t,k,l,g,p,h,o,j,b,n,q}
@attribute A93 {r,a,j,i,n,k,l,m,c,g,t,p,e,o,q,d,b,h,s,f}
@attribute A94 {h,m,e,s,t,b,q,o,j,c,p,n,f,d,g,r,i,a,l,k}
@attribute A95 {l,p,r,k,s,m,f,o,t,c,g,n,e,j,i,a,d,q,b,h}
@attribute A96 {m,q,r,n,b,l,g,t,h,a,s,e,i,c,d,p,j,k,o,f}
@attribute A97 {q,d,s,h,j,c,k,g,m,r,f,n,e,l,b,p,a,t,o,i}
@attribute A98 {q,h,i,l,n,p,o,a,t,f,g,e,r,d,c,k,m,b,s,j}
@attribute A99 {o,h,t,p,a,g,b,m,l,i,j,e,q,r,f,n,c,d,k,s}
@attribute A100 {e,m,c,o,f,g,i,s,t,r,k,h,l,b,p,j,d,n,a,q}
@attribute Class {c4,c3,c2,c1,c5}

@data
q,d,j,b,g,r,c,c,f,a,q,t,h,f,k,g,i,b,c,d,p,s,f,c,i,t,h,i,t,m,f,o,d,a,o,m,f,p,m,t,j,t,q,r,n,g,e,l,i,f,i,l,l,c,l,n,n,o,q,m,g,j,s,o,g,f,o,r,a,p,l,i,f,t,o,a,n,f,b,g,m,c,b,e,c,c,i,b,m,a,c,o,c,m,a,n,k,i,q,f,c3
p,p,c,s,t,b,k,h,j,q,n,c,d,l,n,d,f,o,p,t,l,h,d,e,p,g,g,q,p,c,h,m,a,j,n,l,k,l,b,r,a,t,c,a,l,q,m,q,c,n,p,m,t,f,o,c,n,b,a,q,e,s,s,t,q,f,h,o,t,i,r,e,t,p,t,o,i,q,n,s,r,i,a,d,m,f,p,t,q,o,q,f,m,i,o,g,i,c,e,c,c2
d,j,o,q,p,l,p,b,d,t,i,n,r,c,c,q,q,q,g,q,j,t,g,f,c,j,a,q,k,o,j,k,d,k,r,f,i,q,k,b,s,b,f,s,h,k,s,l,j,p,s,n,p,t,l,k,d,q,k,p,n,l,m,k,p,p,p,i,n,p,q,p,j,c,g,s,s,s,h,b,g,o,l,f,s,m,c,b,t,k,d,c,e,p,d,p,m,h,b,d,c5
r,f,d,n,h,c,s,n,g,a,q,f,s,n,s,a,s,n,l,h,l,c,n,s,s,j,c,o,k,n,h,j,t,m,m,o,o,o,f,d,t,k,m,g,t,l,a,l,e,t,k,k,c,h,j,a,o,o,n,j,e,k,n,i,l,m,d,r,t,j,o,b,a,h,q,j,a,l,l,e,f,h,k,f,e,a,g,r,p,o,o,c,s,o,t,s,h,n,b,d,c1
c,t,r,q,j,o,f,i,d,m,q,h,m,n,s,p,s,n,h,s,b,d,i,m,r,h,a,o,k,h,j,j,h,l,m,s,j,f,f,j,m,f,p,p,i,j,e,b,g,t,l,l,f,l,k,a,i,g,g,j,f,b,l,d,l,l,a,r,t,t,k,b,a,g,s,j,e,o,k,e,b,q,d,f,d,q,g,b,b,q,n,r,i,e,q,g,p,j,j,h,c1
b,r,e,q,s,q,q,c,o,b,m,q,i,b,t,t,t,g,m,o,b,h,o,o,k,j,g,l,o,p,g,h,m,r,o,m,t,p,p,f,o,a,k,m,q,h,c,o,g,e,c,r,q,c,c,r,t,s,q,c,f,i,c,n,g,o,h,a,s,d,k,q,t,k,s,r,q,n,i,k,c,t,s,o,f,q,a,e,c,n,j,n,e,s,p,f,s,p,h,n,c4
h,s,c,t,l,r,g,g,m,b,g,l,d,g,d,d,g,n,p,d,l,r,f,p,o,g,b,n,t,c,d,m,c,n,j,h,a,o,q,b,q,c,f,e,d,e,l,n,c,f,p,e,g,t,h,d,n,l,e,t,b,n,s,o,p,j,g,c,p,e,c,l,d,b,r,r,f,p,h,i,f,i,n,d,c,c,d,j,j,e,t,f,g,h,o,g,n,k,g,c,c2
q,i,o,h,p,f,j,d,l,g,f,m,k,i,l,q,s,n,f,r,d,a,r,d,t,a,n,o,k,t,s,j,c,s,s,g,k,r,f,a,j,g,o,b,t,h,j,f,f,t,a,l,p,t,o,g,f,a,i,j,g,l,r,p,c,q,d,r,t,h,a,o,d,a,n,e,q,s,d,n,q,m,i,f,o,s,j,r,o,p,d,r,i,j,n,i,r,n,f,o,c1
f,s,c,h,d,a,a,r,b,m,j,n,c,p,k,r,s,n,i,e,d,a,b,c,g,p,l,o,k,f,i,j,g,i,t,g,h,j,f,e,m,j,j,p,e,f,g,o,f,t,a,p,q,p,k,h,c,h,h,j,b,k,t,h,l,d,c,r,t,h,r,q,c,d,b,g,h,b,p,e,h,r,j,f,q,d,c,k,l,d,g,p,j,s,j,s,f,t,q,d,c1
r,b,e,k,s,a,c,g,o,a,i,p,f,b,p,n,i,h,e,c,g,q,o,f,n,t,r,n,t,d,d,j,j,g,e,m,f,p,m,s,k,g,i,h,a,h,i,s,q,e,i,k,f,h,e,n,p,g,r,o,f,f,k,i,h,t,i,j,s,p,c,n,r,o,r,s,m,n,n,q,n,m,s,m,f,c,g,b,i,i,l,s,o,m,k,i,d,m,e,l,c3
j,o,c,g,c,t,p,l,j,h,m,b,l,p,b,d,l,s,p,i,l,i,i,j,o,g,a,e,d,c,k,m,d,d,b,b,t,t,t,f,e,r,d,f,r,i,s,g,o,a,p,k,t,f,q,s,n,n,s,b,g,h,s,f,d,t,l,m,f,r,i,r,s,f,o,b,h,n,c,s,s,q,c,d,g,t,q,h,q,i,n,b,k,g,i,t,d,o,m,c,c2
h,d,n,t,t,q,c,p,t,a,a,o,a,b,g,h,i,q,t,s,l,r,f,t,m,p,k,s,n,r,n,f,i,n,e,m,f,p,h,j,k,t,i,e,k,l,l,l,q,p,i,p,j,t,l,n,r,n,g,l,f,n,q,k,d,c,n,d,e,p,t,g,r,d,q,h,p,f,l,r,n,g,j,e,l,c,c,d,h,e,e,m,n,m,j,e,s,m,t,p,c3
d,e,k,m,f,d,r,p,d,t,b,t,b,t,h,o,k,q,r,g,h,q,g,s,n,j,k,t,o,o,g,f,c,d,m,b,p,o,p,b,a,g,p,p,c,n,o,i,e,t,i,h,p,h,l,n,p,k,q,f,n,f,e,n,p,g,p,a,c,k,n,h,c,a,a,s,r,r,m,m,a,a,k,t,p,s,q,a,l,q,d,d,c,d,s,k,m,e,b,p,c5
r,i,m,s,i,k,c,p,e,a,d,j,m,r,n,n,i,o,i,o,a,l,c,h,p,c,o,s,b,g,o,d,c,j,m,m,f,p,t,i,m,n,a,t,s,c,c,r,r,g,i,p,t,s,r,n,f,k,q,c,r,c,m,l,j,s,t,e,q,p,e,b,e,c,e,d,q,g,b,c,f,m,n,p,e,c,j,a,t,t,k,o,j,m,e,s,o,i,k,n,c3
h,j,c,b,o,h,p,r,m,m,b,m,j,o,i,d,a,d,p,m,l,a,t,s,h,g,a,d,d,c,f,m,b,a,r,q,q,j,c,n,b,d,l,o,f,p,i,i,r,j,p,h,q,i,l,q,n,d,j,j,e,b,b,a,a,d,g,q,s,m,l,k,i,i,n,h,c,a,g,l,i,l,s,d,k,e,l,a,e,p,d,b,l,p,h,c,e,f,o,c,c2
m,t,c,r,l,k,p,r,t,s,c,h,n,g,l,i,s,n,i,n,o,l,c,h,f,d,s,o,k,t,t,j,a,p,g,r,t,a,f,t,i,q,f,k,t,e,b,d,o,t,l,c,r,k,n,h,q,h,n,j,f,i,h,o,h,k,d,r,t,j,m,i,o,f,d,h,s,h,g,s,q,h,e,f,p,f,m,k,l,q,f,g,b,m,g,g,d,k,n,s,c1
a,b,h,o,f,e,a,t,n,m,k,f,l,q,d,i,s,n,k,k,e,n,s,n,k,c,j,o,k,i,k,j,d,d,h,c,n,e,f,m,q,h,j,o,c,b,p,o,e,t,h,i,b,j,r,b,s,j,f,j,p,b,o,d,f,b,i,r,t,b,r,e,e,p,m,t,r,q,g,q,r,i,o,f,t,r,o,k,b,t,r,c,e,p,g,i,i,l,e,s,c1
i,d,s,f,r,e,h,q,c,t,m,n,f,r,t,e,p,n,p,j,r,e,o,o,q,r,e,d,t,i,n,a,a,t,g,k,e,a,c,c,h,q,k,d,s,r,c,j,m,n,h,h,a,c,l,r,t,o,p,c,f,f,a,b,j,l,e,a,f,c,d,q,l,i,g,a,a,n,o,k,g,b,r,e,k,c,a,q,m,g,j,e,t,f,m,e,o,n,n,r,c4
e,f,m,k,i,s,c,r,n,a,t,j,e,o,g,p,i,d,g,o,t,n,g,l,d,k,g,n,p,j,r,m,e,p,f,m,f,p,g,e,d,n,f,e,c,e,e,l,m,g,i,d,p,r,c,n,i,j,g,h,b,g,m,c,r,i,i,m,q,p,k,e,q,l,r,b,o,d,n,d,r,l,s,o,m,c,d,l,j,t,d,o,j,m,m,f,a,d,m,m,c3
k,j,e,o,r,o,f,i,t,i,o,g,e,a,t,c,a,j,j,s,e,d,g,n,k,h,l,q,d,t,q,s,d,g,q,r,m,o,s,k,i,r,k,r,c,n,f,m,n,h,m,a,j,o,i,r,t,p,d,c,f,j,k,s,q,m,r,a,l,k,k,l,m,a,e,b,b,n,s,k,o,s,a,g,f,r,a,g,l,l,j,q,a,m,k,t,j,g,b,k,c4
h,h,r,m,c,a,m,o,m,e,h,m,p,q,t,h,g,j,j,q,a,g,i,g,h,g,f,b,q,q,s,g,o,q,c,r,m,i,o,a,d,s,k,i,b,b,c,d,e,g,p,h,a,k,m,r,t,g,f,c,f,n,s,f,s,q,m,a,p,f,b,j,c,r,q,f,c,n,o,k,i,p,f,h,j,o,a,f,t,c,j,i,c,m,a,m,e,b,c,p,c4
h,n,d,a,d,r,i,i,n,l,d,h,l,l,q,e,s,n,f,f,d,q,p,h,s,c,c,o,k,g,n,j,o,k,b,g,l,e,f,a,i,f,f,b,i,r,t,p,d,t,q,c,q,g,s,d,i,a,m,j,h,c,s,b,b,o,c,r,t,a,r,k,b,g,d,q,s,j,p,j,l,r,i,f,j,n,t,h,h,n,d,k,c,f,c,s,i,p,m,r,c1
d,g,d,g,t,i,h,k,d,t,k,t,h,r,k,m,g,q,k,h,g,f,g,m,f,j,d,a,a,b,e,o,o,n,i,j,g,s,o,g,c,b,d,p,j,l,k,m,o,c,p,d,c,r,l,t,m,t,j,l,s,k,e,h,d,d,g,d,k,k,q,c,a,m,s,s,r,s,s,t,r,m,n,o,c,m,o,r,b,j,d,n,g,q,g,f,m,o,b,i,c5
e,l,d,a,t,n,c,i,e,a,b,d,s,p,e,k,i,e,i,e,h,q,p,a,a,o,f,n,q,t,m,e,k,g,k,m,f,p,g,k,l,n,k,o,l,r,s,a,l,b,i,b,t,e,b,n,t,t,l,c,m,b,t,o,k,a,g,a,l,p,i,b,j,p,h,g,p,r,t,m,s,m,e,q,t,c,c,d,o,g,s,r,r,m,e,m,i,k,c,l,c3
d,t,f,j,p,e,j,t,d,t,i,k,t,r,a,p,r,q,i,h,c,m,g,e,i,j,c,r,s,g,k,s,i,n,e,f,a,o,l,r,o,s,d,i,f,k,t,n,a,f,h,k,r,q,l,q,h,b,j,r,l,l,p,i,l,i,n,a,b,h,f,l,s,l,i,s,a,r,t,d,f,s,f,d,d,o,e,g,n,g,d,l,p,a,r,o,m,n,b,t,c5
d,l,l,f,n,h,b,h,d,t,b,s,i,p,s,b,l,q,r,j,f,t,g,c,t,j,m,o,n,c,r,d,e,f,m,e,b,i,b,c,j,m,e,c,a,k,e,e,d,s,q,h,o,h,l,s,l,h,c,i,s,p,o,e,d,g,a,p,q,a,e,a,h,g,k,s,q,r,r,d,m,b,a,g,j,c,s,m,o,f,d,o,q,b,p,p,m,h,b,o,c5
n,l,r,e,i,m,e,d,g,j,s,j,p,t,t,l,e,l,c,i,t,p,b,a,o,e,r,p,f,r,t,i,h,r,o,b,o,f,j,t,b,p,k,d,p,g,k,g,r,e,b,q,j,e,t,r,t,b,r,c,f,d,p,t,m,i,l,a,n,s,e,a,i,q,f,i,a,n,q,k,m,k,l,f,r,k,a,g,m,e,j,a,n,i,b,a,m,t,g,j,c4
n,d,r,c,e,t,c,b,s,a,q,i,g,j,c,k,i,n,a,k,d,p,k,l,s,h,m,r,e,g,i,g,n,p,c,m,f,p,t,j,s,d,a,p,p,q,f,r,g,h,i,b,m,i,p,n,r,t,m,r,e,l,l,i,g,t,m,l,o,p,j,a,s,k,q,l,r,o,d,k,n,p,d,j,s,c,e,e,e,d,h,f,i,m,q,q,c,m,h,q,c3
d,m,i,g,l,t,l,k,a,a,o,t,e,d,r,b,s,n,s,h,r,r,r,r,g,l,q,o,k,n,r,j,e,n,i,j,e,l,f,h,q,p,i,a,l,b,e,s,i,t,q,j,d,h,g,e,a,k,g,j,j,m,e,m,e,a,m,r,t,h,b,p,f,j,b,e,b,p,b,k,a,l,j,f,t,f,i,q,h,t,o,d,p,p,p,b,h,e,n,o,c1
d,s,n,h,r,s,d,m,d,t,o,i,q,k,b,e,q,q,s,t,e,l,g,q,b,j,q,j,h,c,g,s,h,e,o,s,i,r,t,p,j,o,h,o,d,b,s,j,s,s,f,n,a,h,l,e,r,h,n,q,i,c,o,k,m,l,i,q,o,s,a,t,n,b,n,s,q,m,r,e,j,q,m,d,g,a,p,i,k,b,d,e,a,k,d,q,m,k,b,c,c5
s,n,c,l,b,o,k,c,b,b,m,d,i,n,b,d,r,b,p,b,l,b,o,g,e,g,n,j,q,c,t,m,s,o,r,a,a,d,k,i,r,g,q,a,n,i,s,a,t,b,p,l,f,e,q,s,n,f,f,t,t,s,r,n,o,a,a,t,a,i,b,i,k,e,d,i,j,l,j,g,c,k,l,d,j,c,k,b,o,p,q,h,q,s,t,b,l,o,j,c,c2
h,b,c,q,b,d,o,i,k,c,d,c,a,f,t,j,h,g,p,n,e,k,e,o,i,p,o,h,d,o,k,n,m,k,f,o,l,b,q,l,p,r,k,g,m,j,o,d,e,q,i,r,d,g,i,r,t,f,c,c,f,e,p,b,i,o,t,a,t,t,h,r,i,l,l,f,o,n,o,k,i,e,q,e,d,q,a,e,b,t,j,m,d,e,s,c,d,d,f,q,c4
i,j,h,g,r,a,f,h,c,c,a,a,a,s,t,q,d,j,s,s,c,n,m,d,p,q,m,i,t,j,e,m,o,b,m,h,t,c,c,t,n,l,k,l,s,h,d,k,b,c,j,h,c,h,n,r,t,a,b,c,f,k,e,g,a,p,t,a,e,p,k,l,r,j,s,a,e,n,k,k,a,t,m,g,e,r,a,o,a,b,j,l,l,n,f,a,l,l,o,b,c4
c,e,c,h,h,d,b,c,k,p,n,s,l,m,g,d,s,n,p,t,l,q,q,h,q,g,b,b,j,c,a,m,k,g,c,g,n,h,e,o,l,r,b,s,c,l,q,p,r,n,p,e,a,b,n,f,n,h,k,o,g,e,o,d,c,n,k,f,i,c,j,l,f,p,a,h,f,o,n,m,d,t,o,d,a,d,f,m,k,d,r,j,k,e,h,s,l,m,f,c,c2
d,e,n,i,a,a,m,e,d,t,j,g,d,m,j,o,t,q,q,p,i,o,g,o,n,j,g,t,r,m,g,i,d,h,n,q,g,b,q,o,i,i,o,i,k,p,h,s,b,i,j,o,d,k,l,t,f,m,d,s,g,o,p,f,i,k,j,n,n,a,m,q,g,a,k,s,m,p,j,p,g,b,k,o,r,e,n,j,a,f,d,d,l,c,f,t,m,l,b,j,c5
g,a,c,q,h,n,j,c,g,o,o,s,n,l,p,d,s,b,p,b,l,i,q,q,c,g,m,t,n,c,f,m,o,k,t,g,j,e,o,q,r,c,h,t,l,j,t,p,j,k,p,p,q,a,p,a,n,o,i,f,p,b,c,c,f,g,b,d,l,g,t,r,i,q,k,n,c,q,f,h,m,j,d,d,q,a,j,a,d,f,j,j,p,c,a,k,l,r,c,c,c2
d,s,h,c,q,e,b,t,d,t,i,o,o,s,l,e,t,q,m,r,t,r,g,i,d,j,n,j,s,l,c,k,f,g,h,h,c,s,s,r,i,q,t,i,l,d,t,r,j,p,n,c,f,d,l,f,h,d,j,l,b,t,g,h,r,k,k,q,e,k,d,m,g,l,d,s,g,n,j,o,j,g,o,c,a,c,o,s,r,d,d,l,i,k,d,c,m,s,b,r,c5
d,p,i,q,s,n,g,q,d,t,q,s,d,m,a,t,a,q,f,j,o,d,g,q,d,j,f,p,n,f,k,j,b,m,b,k,t,l,a,k,r,i,j,d,e,q,n,m,e,k,s,p,j,n,l,q,s,n,p,o,m,i,f,l,d,i,o,d,e,a,j,s,d,o,b,s,m,r,c,q,o,c,l,l,a,c,r,s,k,l,d,n,q,a,i,s,m,s,b,q,c5
a,f,n,r,m,b,c,p,l,a,c,d,d,j,f,i,i,a,g,s,o,k,b,h,s,n,m,s,e,m,f,j,c,c,i,m,f,p,t,m,o,e,i,q,j,q,c,s,m,p,i,j,h,q,s,n,c,l,s,f,s,a,o,q,b,m,n,b,r,p,d,q,m,e,m,i,e,c,o,t,j,p,n,s,t,c,a,i,h,b,t,k,a,m,k,m,r,e,t,m,c3
i,t,o,l,n,r,e,l,o,h,g,j,l,q,e,g,s,n,l,p,a,g,s,l,n,f,n,o,k,d,c,j,q,d,i,g,d,f,f,i,b,a,p,c,m,h,r,t,q,t,i,g,i,h,s,h,r,a,s,j,n,t,n,g,t,q,o,r,t,d,r,t,k,h,k,d,d,n,p,t,t,r,s,f,t,f,q,s,f,f,c,c,m,h,j,d,r,q,b,a,c1
l,c,e,o,c,d,f,p,s,f,b,b,p,d,t,r,b,j,c,h,f,e,q,d,a,q,c,n,k,q,d,f,r,p,m,s,g,r,q,f,d,q,k,g,s,t,c,e,c,i,k,t,g,d,a,r,t,d,s,c,f,d,o,s,d,f,k,a,j,f,m,k,a,q,n,d,n,n,q,k,a,f,p,a,i,a,a,q,h,k,j,b,r,f,p,k,k,k,h,o,c4
d,r,n,l,a,g,b,i,d,t,s,a,r,r,j,m,j,q,l,c,b,q,g,l,o,j,s,o,c,r,b,m,l,e,e,k,f,j,s,e,d,q,q,s,n,q,t,p,e,b,b,g,a,f,l,s,f,m,s,j,a,k,j,a,i,m,c,e,l,l,s,q,e,o,c,s,t,c,o,e,c,h,r,o,k,o,s,g,q,p,d,b,n,d,r,d,m,f,b,k,c5
h,j,p,l,i,c,c,o,j,a,i,f,m,p,n,l,i,t,c,e,h,i,p,s,t,l,n,i,t,m,n,o,p,c,a,m,f,p,c,q,f,n,t,e,h,k,l,t,o,m,i,c,j,h,f,n,j,q,o,r,g,j,c,b,e,i,d,q,j,p,p,s,l,n,h,d,a,d,c,t,l,q,s,h,p,c,i,j,j,r,d,m,t,m,r,i,c,m,n,t,c3
n,l,b,r,e,s,a,h,b,n,g,c,c,a,t,s,r,a,c,p,h,b,a,m,n,c,d,r,j,p,m,b,c,b,f,q,k,r,d,m,c,b,k,q,q,q,l,a,j,b,t,k,h,k,q,r,t,t,m,c,f,k,j,b,s,k,d,a,m,k,l,a,t,n,r,g,g,n,d,k,i,h,j,b,c,p,a,h,s,m,j,c,d,n,d,b,b,q,g,c,c4
