@relation data3

@attribute A {ar,v,d,ao,ae,an,r,as,p,ag,ax,w,n,u,ah,i,z,s,e,ab,aq,al,f,ad,aa,au,ai,t,m,ak,am,aw,q,ap,a,o,ac,af,l,at,h,c,aj,x,av,k,j,b,y,g}
@attribute B {i,al,ak,m,ax,t,ab,ao,aa,l,c,k,as,ah,ap,q,b,ac,v,x,j,af,ai,d,ae,o,ar,ad,u,an,y,n,at,aw,f,p,am,aq,h,av,g,r,a,w,s,au,e,z,ag,aj}
@attribute C {al,j,as,ak,b,r,g,o,ag,ah,p,an,m,ar,h,x,ad,ab,ao,q,f,ap,e,aw,ac,i,av,z,v,l,y,c,aq,aj,u,d,t,ai,w,at,ae,am,ax,n,a,s,aa,au,af,k}
@attribute D {aw,c,an,aa,f,q,m,y,o,ax,g,as,ak,ao,af,l,ag,at,aj,w,ai,u,av,ar,t,n,am,d,ae,ad,z,s,j,h,v,al,ab,ap,r,ac,i,e,a,b,x,ah,k,au,p,aq}
@attribute E {r,ah,g,al,p,ag,ad,af,j,h,ae,s,l,f,i,b,k,am,u,ak,ao,aa,ar,ac,v,c,e,aj,an,w,z,o,n,a,m,ab,aw,ap,ax,at,ai,y,au,q,x,aq,t,as,d,av}
@attribute F {av,v,ap,u,n,w,r,ax,ac,ab,ar,aa,o,ag,ah,a,al,h,m,s,j,p,e,y,af,au,ak,f,k,z,aq,aw,c,i,an,g,b,ai,at,d,as,q,am,x,ad,t,l,ao,ae,aj}
@attribute G {ax,an,t,j,s,p,at,c,v,ah,aj,ar,f,m,r,aa,w,l,a,e,y,i,ag,ap,u,af,au,ao,ae,x,ad,k,ai,am,ak,aq,ac,d,b,h,av,ab,aw,as,g,o,q,al,z,n}
@attribute H {d,g,p,f,av,aq,aw,q,ao,am,ak,ah,u,ab,x,ac,c,o,e,i,ai,ar,af,r,w,au,ad,ag,y,as,al,at,k,l,ax,n,b,a,h,t,aj,j,m,ap,ae,an,aa,z,v,s}
@attribute I {k,aj,q,r,am,n,au,v,av,d,b,ai,ak,f,z,an,l,u,i,ao,h,o,aq,g,ab,as,ad,c,ag,ar,a,af,ap,s,ax,aa,ac,w,j,aw,ah,p,t,at,m,y,al,e,x,ae}
@attribute J {ac,b,k,s,ag,av,v,ai,c,ap,ak,y,h,an,a,i,af,r,ab,j,am,aq,q,as,ax,w,d,z,m,o,at,ae,u,x,p,e,aw,ah,n,t,ar,aa,au,ao,aj,g,l,al,ad,f}
@attribute K {b,s,ad,o,ax,ac,r,g,ah,aw,ao,p,e,ak,a,av,aq,l,ai,ap,au,k,d,ab,n,w,v,af,z,as,y,c,u,m,at,x,ag,t,aa,h,ae,f,al,i,an,j,q,aj,am,ar}
@attribute L {r,z,g,u,ah,ar,n,aq,b,am,an,p,w,ax,ab,ak,l,at,ac,o,au,a,aw,j,aj,f,av,t,al,ap,x,h,d,ad,ao,c,as,af,y,m,i,ai,ae,ag,q,k,s,e,aa,v}
@attribute M {n,as,s,aj,b,ao,ar,t,j,ad,ax,z,ab,h,x,l,aw,g,an,ac,y,u,ag,w,p,ak,aa,ah,e,d,i,q,al,a,k,v,c,ae,am,o,m,av,f,at,aq,ap,r,af,ai,au}
@attribute N {o,y,ap,ac,al,x,ax,am,u,v,an,n,aj,ab,l,g,t,ar,ae,r,as,q,a,aw,z,ag,ad,ao,d,p,ai,aq,ak,af,b,k,f,m,c,aa,i,av,s,e,h,j,ah,w,au,at}
@attribute O {k,s,ab,o,av,i,r,v,g,aj,at,ah,a,c,j,e,u,al,h,f,ac,ar,as,ae,ax,au,aa,ai,y,m,aq,af,l,am,z,x,d,an,ag,ad,w,p,ao,n,q,ak,t,b,aw,ap}
@attribute P {am,ax,r,x,aw,ae,k,v,a,av,ak,s,q,b,aq,h,c,ao,at,ap,z,w,ai,d,an,al,t,aa,af,ac,g,ar,j,e,ah,ag,n,as,l,au,u,f,ab,ad,p,m,o,i,y,aj}
@attribute Q {ap,z,h,af,k,ax,aj,a,as,f,aq,ag,ab,w,v,j,u,ak,y,l,i,ai,e,m,ae,ad,x,o,aw,av,am,at,ao,t,r,ar,q,s,au,ac,ah,aa,p,n,an,g,d,b,c,al}
@attribute R {j,ax,ae,w,c,u,am,a,ar,z,ad,p,ak,an,v,h,i,s,g,o,au,ac,ao,ai,k,ah,aj,b,t,af,av,r,q,ap,l,aq,n,as,m,ab,y,aw,e,x,at,al,ag,d,aa,f}
@attribute S {aj,b,aa,d,aw,at,x,ab,ax,au,ag,ak,aq,ae,n,l,v,f,o,ah,as,e,an,ac,z,ad,h,u,k,w,s,y,j,r,i,ai,m,a,af,al,t,q,g,ar,ao,am,c,ap,av,p}
@attribute T {t,l,j,s,as,ak,aj,ap,r,a,aw,ag,o,ae,z,q,aq,y,f,w,ax,e,x,c,ad,b,at,v,am,ai,aa,av,ab,p,an,k,ah,ar,g,au,i,ac,m,ao,u,h,af,n,al,d}
@attribute U {ae,av,j,q,aq,r,d,al,ax,as,ah,aj,l,ag,aw,v,p,au,ac,ap,y,ak,s,k,af,x,a,e,z,i,ao,n,ad,ar,g,an,ai,ab,w,aa,m,b,u,c,am,t,at,o,f,h}
@attribute V {av,g,v,aa,ah,ac,aw,aq,t,x,aj,ag,al,e,s,ax,ak,w,am,l,ar,ai,h,i,ao,ad,ae,b,at,j,u,q,m,a,au,an,ap,d,k,as,f,af,o,z,r,p,c,ab,y,n}
@attribute W {ak,as,r,af,k,h,ab,n,m,i,q,j,ao,am,z,ae,ax,aw,a,p,f,an,at,y,o,ah,w,e,ac,d,l,x,aq,g,av,ai,ad,s,aj,al,t,ag,b,v,c,aa,au,u,ap,ar}
@attribute X {z,m,ag,d,ar,n,c,aj,l,o,s,ai,p,ao,y,f,t,ax,g,k,e,q,i,ap,ab,au,aq,j,aw,ak,at,h,an,ac,av,ae,v,al,r,b,x,af,am,ad,ah,as,w,aa,u,a}
@attribute Y {au,m,p,ax,ae,av,af,am,ak,g,an,c,aw,al,y,at,z,b,aj,ap,aq,j,ai,as,h,ar,x,d,ao,t,v,e,ah,s,l,o,ac,i,ad,a,r,ab,w,f,n,u,k,ag,aa,q}
@attribute Z {a,aw,c,x,al,n,v,ak,aa,ab,g,aj,ag,ai,r,e,i,q,p,h,b,ah,l,y,ar,w,ac,k,t,at,ax,an,u,as,d,au,aq,f,af,s,z,o,ao,ap,ad,ae,am,av,m,j}
@attribute [ {l,y,ao,aq,r,a,k,ae,j,av,g,ax,w,b,i,ag,ac,ak,q,h,z,c,af,v,ab,ar,o,f,ai,ap,aj,e,p,n,at,ad,t,d,u,au,aa,an,ah,s,m,am,aw,al,x,as}
@attribute '\\' {as,e,af,am,v,ap,x,g,o,a,ar,c,z,ag,al,n,l,b,ax,av,t,aw,at,p,aj,u,ak,w,h,s,ah,d,an,ae,m,q,aa,ad,aq,ai,f,y,ao,k,ac,ab,r,i,j,au}
@attribute ] {as,aj,n,u,h,s,d,ap,ab,v,ao,an,ar,c,r,y,x,au,ae,m,aw,a,am,al,af,z,aq,b,q,o,t,g,ac,aa,k,ad,ak,j,f,i,at,ah,l,ag,p,ax,e,ai,av,w}
@attribute ^ {v,w,y,al,f,ao,z,a,aa,aq,au,p,n,k,ae,l,s,h,aj,b,av,at,an,o,aw,ak,ab,ap,ad,ar,as,m,ag,j,ax,am,t,r,g,i,ai,c,d,x,e,ah,ac,q,af,u}
@attribute Class {c2,c4,c3,c1}

@data
ao,ah,i,aj,p,e,y,ax,q,y,ai,g,d,p,f,ai,af,ak,ah,ag,q,ad,p,d,p,c,ao,af,ac,as,c3
ab,an,al,aw,r,j,ax,n,i,d,au,n,e,af,ax,k,j,ad,aa,t,ae,av,ak,z,b,a,l,av,aa,ap,c2
z,y,av,ae,e,k,an,b,d,q,ao,z,as,a,s,ax,y,z,b,w,av,b,f,p,m,aw,y,e,an,l,c4
ao,n,z,f,aj,ah,s,b,q,x,ax,g,i,t,aa,ap,af,ap,k,ax,q,e,r,d,p,c,ao,af,k,k,c3
w,af,v,ax,an,e,an,ad,ad,b,ai,z,as,d,s,ax,l,r,b,a,aj,at,am,ao,m,aw,y,e,k,ar,c4
ao,at,av,ad,w,ac,a,ad,q,p,av,g,j,v,ar,d,af,l,ad,ap,q,am,m,d,p,c,ao,af,z,ar,c3
ad,aw,j,g,j,z,an,ab,ab,p,w,z,as,b,s,ax,i,g,b,a,l,e,an,p,m,aw,y,e,ad,ak,c4
aa,f,q,at,v,ah,an,l,n,w,l,z,as,ar,s,ax,ai,aq,b,b,ag,j,d,y,m,aw,y,e,q,as,c4
au,p,l,ae,z,ak,an,c,c,at,ad,z,as,aw,s,ax,e,ax,b,at,l,u,i,f,m,aw,y,e,ar,a,c4
ah,am,ag,c,aa,m,an,a,ag,ac,ad,z,as,ab,s,ax,m,af,b,s,aw,q,at,t,m,aw,y,e,a,m,c4
ag,ab,v,z,ag,m,v,ax,n,ab,n,aq,ad,aj,o,a,aj,g,w,e,aq,w,l,ar,al,aj,ac,z,x,aa,c1
n,ap,y,aj,f,s,an,am,ar,e,v,z,as,ac,s,ax,ae,aq,b,v,v,ag,h,t,m,aw,y,e,b,ag,c4
ag,ab,c,q,ag,aq,m,f,a,aw,l,aq,as,t,o,a,aj,w,ab,am,aq,l,x,ar,j,v,c,t,x,aa,c1
ao,aq,j,ax,w,af,i,h,q,q,g,g,g,z,ai,ak,af,ap,s,b,q,m,k,d,p,c,ao,af,n,ao,c3
i,ai,aq,ai,o,aw,an,au,b,y,af,z,as,v,s,ax,ad,k,b,b,r,u,aq,l,m,aw,y,e,t,j,c4
ag,ab,c,o,ag,al,ag,h,i,ah,ac,aq,b,a,o,a,aj,l,b,ak,aq,g,y,ar,ai,ag,af,af,ak,aa,c1
ai,p,aj,s,w,c,an,b,af,am,k,z,as,k,s,ax,x,w,b,j,p,a,g,t,m,aw,y,e,v,b,c4
ag,ab,ag,at,ag,al,ap,i,ap,an,ab,aq,ab,aj,o,a,aj,n,ad,ai,aq,at,ah,ar,ae,ai,v,aw,j,aa,c1
t,j,al,aw,r,i,ax,t,aj,y,av,ax,ag,ap,y,q,o,am,y,t,ae,av,ak,z,au,a,ab,at,j,ax,c2
ar,f,f,u,r,k,an,ag,f,r,z,z,as,ac,s,ax,y,as,b,y,au,al,q,ax,m,aw,y,e,s,s,c4
m,q,x,as,n,r,an,ar,s,w,ac,z,as,f,s,ax,ap,h,b,y,ac,ao,an,g,m,aw,y,e,f,as,c4
ag,ab,aw,j,ag,an,u,ac,ak,n,g,aq,q,ab,o,a,aj,m,f,am,aq,ax,p,ar,as,r,ag,p,aj,aa,c1
al,d,al,aw,r,y,ax,ar,ax,o,au,ab,x,m,aa,an,j,ab,j,t,ae,av,ak,z,as,a,ar,ag,q,p,c2
ag,ab,i,h,ag,al,u,ao,i,t,ad,aq,ah,c,o,a,aj,ar,r,a,aq,ag,av,ar,h,aw,ac,c,v,aa,c1
ag,ab,i,ak,ag,f,y,as,aa,t,ao,aq,n,aa,o,a,aj,y,r,aj,aq,h,o,ar,aw,ai,q,t,m,aa,c1
ak,am,u,v,ag,g,an,aj,ac,aq,as,z,as,an,s,ax,ai,au,b,aa,ap,ar,ai,k,m,aw,y,e,ao,am,c4
am,p,al,aw,r,b,ax,aw,z,i,aw,ak,ax,x,a,aw,aw,ap,r,t,ae,av,ak,z,ar,a,ab,aj,g,h,c2
an,ac,ar,al,a,u,an,f,am,ar,as,z,as,al,s,ax,ap,as,b,aw,y,ae,e,e,m,aw,y,e,i,t,c4
aq,ax,al,aw,r,m,ax,q,ac,ah,a,w,z,u,m,r,y,au,x,t,ae,av,ak,z,aj,a,aq,av,as,r,c2
t,b,d,ab,m,f,an,aj,o,ap,l,z,as,z,s,ax,z,ae,b,av,ak,au,ad,z,m,aw,y,e,am,g,c4
ao,ab,t,c,a,ai,t,c,q,z,y,g,n,c,m,al,af,aw,ad,aq,q,ah,s,d,p,c,ao,af,at,ag,c3
ag,ab,aq,ae,ag,a,ah,ax,w,aa,a,aq,al,aq,o,a,aj,m,aw,ab,aq,u,w,ar,x,e,b,av,s,aa,c1
ao,t,y,j,i,g,af,j,q,w,aq,g,e,ao,ae,ai,af,aj,aj,ai,q,x,a,d,p,c,ao,af,f,ak,c3
ao,af,ai,o,ab,at,ah,u,q,au,c,g,a,ar,aq,t,af,l,i,x,q,al,m,d,p,c,ao,af,z,t,c3
t,h,av,ae,e,d,an,e,i,av,v,z,as,g,s,ax,z,av,b,ax,s,v,af,q,m,aw,y,e,ae,n,c4
an,x,aj,ap,aj,p,an,t,j,aa,n,z,as,ax,s,ax,av,ai,b,z,k,ad,ax,i,m,aw,y,e,n,aj,c4
ag,ab,w,av,ag,ap,ax,am,d,ai,u,aq,g,i,o,a,aj,p,w,ai,aq,m,y,ar,ar,i,o,al,aa,aa,c1
aw,ad,al,aw,r,as,ax,m,ao,a,m,l,ac,av,af,aa,ai,an,ag,t,ae,av,ak,z,d,a,af,p,y,a,c2
ag,ab,c,n,ag,au,ar,ac,g,u,ac,aq,k,s,o,a,aj,an,ai,ai,aq,an,aj,ar,ao,q,f,ax,x,aa,c1
ao,as,l,r,l,r,r,y,q,ao,at,g,ah,o,l,af,af,e,aw,ab,q,aa,as,d,p,c,ao,af,at,t,c3
ao,av,r,ak,aw,q,ap,ag,q,af,x,g,q,ae,k,ac,af,r,d,a,q,au,f,d,p,c,ao,af,ah,i,c3
ag,ab,at,an,ag,u,au,u,d,q,z,aq,v,e,o,a,aj,aw,v,ab,aq,q,ax,ar,t,p,k,u,s,aa,c1
ag,ab,al,al,ag,al,ah,f,aw,aj,d,aq,x,an,o,a,aj,x,w,p,aq,ak,h,ar,v,h,j,aw,t,aa,c1
am,aa,al,aw,r,ah,ax,m,j,g,as,an,g,i,ac,ap,am,af,i,t,ae,av,ak,z,ae,a,ao,ak,ao,v,c2
n,g,ag,ac,e,am,an,aw,h,z,au,z,as,aa,s,ax,aw,j,b,an,au,v,at,ap,m,aw,y,e,l,y,c4
ao,v,an,i,ag,x,ao,aw,q,m,o,g,k,b,u,g,af,ai,aj,aq,q,l,q,d,p,c,ao,af,af,ao,c3
an,ao,al,aw,r,ad,ax,m,aa,af,av,aq,w,h,am,w,at,n,m,t,ae,av,ak,z,e,a,ai,as,an,i,c2
ag,ab,ae,h,ag,k,ae,g,i,o,a,aq,as,l,o,a,aj,y,a,k,aq,j,z,ar,v,b,q,w,au,aa,c1
ag,ab,w,aw,ag,ak,x,ap,ag,ak,k,aq,v,p,o,a,aj,n,af,c,aq,ae,af,ar,g,ah,ae,h,ab,aa,c1
ao,av,u,u,n,t,m,l,q,av,af,g,u,c,f,ao,af,au,ag,s,q,i,af,d,p,c,ao,af,v,as,c3
an,an,al,aw,r,ak,ax,as,ah,x,ai,n,c,ab,s,w,j,w,al,t,ae,av,ak,z,ah,a,b,s,q,n,c2
au,q,am,g,ap,ah,an,av,v,aj,ag,z,as,j,s,ax,ax,aj,b,aq,af,ad,al,ab,m,aw,y,e,ah,f,c4
v,i,av,v,m,af,an,c,ar,b,s,z,as,ao,s,ax,e,y,b,as,x,a,ax,f,m,aw,y,e,ak,ag,c4
ao,k,u,e,ae,d,ax,ao,q,o,t,g,ax,ae,z,ar,af,at,au,aa,q,aj,t,d,p,c,ao,af,al,ad,c3
ao,an,aq,v,ap,h,ad,ac,q,ar,ah,g,y,z,x,j,af,an,w,o,q,al,d,d,p,c,ao,af,t,am,c3
ao,q,x,a,a,au,w,g,q,ag,aa,g,ao,ab,d,e,af,e,m,aa,q,ad,ag,d,p,c,ao,af,ae,y,c3
ao,c,y,g,s,av,a,k,q,c,g,g,v,ah,au,q,af,r,t,ah,q,ap,ad,d,p,c,ao,af,ac,p,c3
ag,ab,ag,at,ag,w,k,ak,j,ae,h,aq,ae,a,o,a,aj,a,y,ap,aq,x,ag,ar,s,l,ap,ah,s,aa,c1
ag,ab,j,ax,ag,d,ai,ac,f,g,x,aq,p,a,o,a,aj,al,e,ap,aq,ad,ab,ar,v,r,aj,ah,f,aa,c1
ag,ab,d,am,ag,ap,an,ae,s,av,ad,aq,ax,ab,o,a,aj,af,o,v,aq,d,h,ar,an,y,af,aw,b,aa,c1
w,av,al,aw,r,al,ax,p,as,ax,k,at,aj,w,an,ah,k,x,k,t,ae,av,ak,z,e,a,a,d,am,ai,c2
ao,n,ax,av,aw,u,y,an,q,aj,ae,g,h,av,at,ae,af,r,r,ar,q,am,b,d,p,c,ao,af,ac,b,c3
q,aa,al,aw,r,ap,ax,g,as,ao,p,r,z,l,ag,ax,aq,m,q,t,ae,av,ak,z,aw,a,ao,an,ag,c,c2
v,f,al,aw,r,av,ax,u,af,au,e,n,g,p,au,aa,ao,w,i,t,ae,av,ak,z,l,a,aj,an,z,au,c2
ao,r,ae,aj,ao,ah,e,am,q,l,f,g,k,b,ab,ag,af,ab,g,an,q,av,v,d,p,c,ao,af,aa,ad,c3
as,j,ab,ac,k,ax,an,n,v,aa,al,z,as,ax,s,ax,av,q,b,ad,a,v,n,ar,m,aw,y,e,x,i,c4
ao,n,j,av,p,z,l,ag,q,am,k,g,am,a,j,am,af,l,ak,g,q,k,x,d,p,c,ao,af,p,aw,c3
d,a,t,i,v,l,an,am,u,aa,ai,z,as,au,s,ax,ag,u,b,at,p,t,f,au,m,aw,y,e,aa,am,c4
q,a,al,aw,r,ax,ax,k,w,t,ah,am,an,t,c,j,aq,av,ag,t,ae,av,ak,z,o,a,ar,u,x,d,c2
aw,f,al,aw,r,ak,ax,l,g,j,av,ac,o,r,ai,d,as,c,e,t,ae,av,ak,z,ae,a,e,ae,p,b,c2
ao,av,p,ae,ax,ai,am,i,q,r,av,g,m,a,at,n,af,ai,an,ai,q,as,q,d,p,c,ao,af,ad,x,c3
ao,p,ar,l,z,af,ak,as,q,y,aa,g,o,au,f,am,af,ag,b,ae,q,aw,x,d,p,c,ao,af,b,as,c3
ap,am,n,ag,b,h,an,j,k,af,i,z,as,ao,s,ax,ai,q,b,au,e,x,x,d,m,aw,y,e,aw,aw,c4
a,v,al,aw,r,ai,ax,t,s,ak,an,o,av,ae,au,aq,aj,q,b,t,ae,av,ak,z,af,a,k,w,c,al,c2
ag,ab,a,am,ag,x,aq,u,k,al,e,aq,c,q,o,a,aj,an,i,i,aq,as,f,ar,au,ar,q,m,ax,aa,c1
o,a,al,aw,r,ao,ax,e,aa,p,n,g,aw,w,ad,v,at,q,ai,t,ae,av,ak,z,an,a,ak,as,x,am,c2
d,at,z,b,al,g,an,aq,ab,t,u,z,as,p,s,ax,e,ad,b,as,r,d,q,e,m,aw,y,e,ae,m,c4
aq,i,al,aw,r,aw,ax,ad,p,i,j,au,ae,as,w,c,t,ak,b,t,ae,av,ak,z,ax,a,p,m,e,ai,c2
au,ae,al,aw,r,ah,ax,f,t,aq,m,at,g,b,j,aa,r,x,d,t,ae,av,ak,z,am,a,ai,ah,ap,j,c2
ag,ab,aj,n,ag,ax,ac,aa,l,h,ah,aq,f,z,o,a,aj,ag,x,aq,aq,ax,ah,ar,ac,w,q,g,z,aa,c1
i,w,ak,c,at,c,an,w,at,ad,d,z,as,ab,s,ax,ar,g,b,ar,q,h,m,ag,m,aw,y,e,i,c,c4
au,j,c,l,k,n,an,am,z,ak,q,z,as,w,s,ax,j,s,b,k,ac,ai,an,o,m,aw,y,e,ai,av,c4
ao,g,aj,b,at,ar,d,am,q,v,c,g,at,r,ag,ah,af,z,ad,v,q,aq,e,d,p,c,ao,af,au,b,c3
aw,s,al,aw,r,g,ax,au,ak,d,b,n,i,l,s,am,aq,x,aa,t,ae,av,ak,z,an,a,l,c,ak,aa,c2
ao,b,aq,x,ai,z,t,n,q,a,s,g,ax,al,ah,am,af,ae,at,t,q,k,z,d,p,c,ao,af,ar,d,c3
u,ae,al,aw,r,p,ax,ah,ai,ax,av,z,h,av,p,ae,q,ab,ak,t,ae,av,ak,z,aq,a,ai,g,aq,at,c2
ac,au,al,aw,r,o,ax,as,w,ae,af,at,y,al,ar,as,i,x,k,t,ae,av,ak,z,e,a,r,ap,ab,w,c2
s,ak,al,aw,r,y,ax,ap,ab,am,f,ax,al,s,s,x,ad,an,u,t,ae,av,ak,z,as,a,n,am,ad,b,c2
i,u,al,aw,r,aq,ax,av,ad,as,k,am,h,ap,h,e,r,ak,l,t,ae,av,ak,z,au,a,aq,al,an,r,c2
ag,ab,av,at,ag,ae,d,ak,b,o,h,aq,aq,av,o,a,aj,v,l,ac,aq,av,aq,ar,at,ac,v,t,t,aa,c1
v,q,al,aw,r,am,ax,ap,at,g,ac,a,aq,au,am,at,ab,k,ar,t,ae,av,ak,z,i,a,ab,w,ag,ag,c2
ag,ab,h,ad,ag,al,ah,y,ax,f,g,aq,v,x,o,a,aj,ai,k,m,aq,l,z,ar,at,k,at,u,a,aa,c1
ad,ak,al,aw,r,ai,ax,ar,i,ah,l,aq,h,z,aj,ag,ad,aq,ao,t,ae,av,ak,z,ad,a,q,z,aj,ag,c2
ag,ab,x,ah,ag,l,au,c,o,t,ac,aq,m,ai,o,a,aj,ao,e,ao,aq,aa,av,ar,a,aj,ac,g,aw,aa,c1
ag,ab,ax,e,ag,ab,b,d,au,ar,e,aq,f,af,o,a,aj,d,aa,am,aq,ak,av,ar,r,aa,at,t,am,aa,c1
ag,ab,an,c,ag,ab,af,av,an,o,b,aq,m,u,o,a,aj,m,t,r,aq,e,ab,ar,ao,t,v,q,e,aa,c1
v,aa,al,aw,r,ai,ax,ax,v,v,h,aw,ac,x,ao,ak,q,aa,w,t,ae,av,ak,z,x,a,i,as,b,x,c2
ag,ab,av,v,ag,aw,t,n,at,ak,u,aq,ae,a,o,a,aj,u,q,l,aq,w,d,ar,ae,at,c,aa,b,aa,c1
ad,j,al,aw,r,ae,ax,e,af,e,o,j,as,c,j,g,w,a,h,t,ae,av,ak,z,b,a,ad,l,s,e,c2
al,a,g,s,v,f,an,i,i,ak,t,z,as,o,s,ax,ax,an,b,s,z,ak,af,aq,m,aw,y,e,l,an,c4
ad,an,al,aw,r,ai,ax,aa,v,an,ad,u,ak,ae,n,aa,h,g,ab,t,ae,av,ak,z,x,a,v,p,av,ah,c2
ag,ab,at,ao,ag,aj,h,u,ai,ax,as,aq,ap,al,o,a,aj,ap,g,ao,aq,j,e,ar,am,ax,c,ad,at,aa,c1
ag,ab,w,al,ag,as,f,y,ah,l,u,aq,ab,ag,o,a,aj,b,as,ah,aq,aq,w,ar,aw,aj,g,aj,aj,aa,c1
am,ax,o,aj,u,l,an,z,q,ax,e,z,as,b,s,ax,s,ad,b,an,v,d,t,ag,m,aw,y,e,w,aq,c4
v,x,y,ab,ao,w,an,y,h,ak,k,z,as,ai,s,ax,i,g,b,q,k,f,am,g,m,aw,y,e,ak,ag,c4
ao,a,p,q,am,aa,x,c,q,au,m,g,ar,z,q,t,af,au,ae,au,q,am,n,d,p,c,ao,af,q,av,c3
ag,ab,x,k,ag,m,p,ax,ag,am,ap,aq,b,m,o,a,aj,y,g,u,aq,an,s,ar,r,an,af,aq,ao,aa,c1
af,ar,am,ab,w,g,an,ak,l,al,ab,z,as,ag,s,ax,ad,c,b,ae,i,ah,j,m,m,aw,y,e,j,av,c4
l,aa,s,am,aw,ah,an,ag,aj,aa,av,z,as,ao,s,ax,ab,y,b,h,al,l,o,q,m,aw,y,e,a,n,c4
ag,ab,v,am,ag,ab,ac,q,i,ae,c,aq,k,aq,o,a,aj,al,g,as,aq,an,ac,ar,l,w,w,an,e,aa,c1
aa,a,x,d,y,q,an,at,h,ak,e,z,as,ap,s,ax,ar,aw,b,aa,ao,aj,ao,j,m,aw,y,e,m,ah,c4
ao,ar,e,c,u,f,t,t,q,a,i,g,s,ao,g,l,af,o,q,h,q,f,aw,d,p,c,ao,af,ad,y,c3
r,l,al,aw,r,t,ax,d,m,v,m,g,a,k,ae,j,ag,ab,ak,t,ae,av,ak,z,ab,a,ai,e,ax,l,c2
ao,ak,aj,ag,g,af,ak,y,q,au,ae,g,m,z,am,c,af,g,ah,b,q,al,ao,d,p,c,ao,af,ap,b,c3
ai,i,aq,o,p,al,an,ao,b,z,i,z,as,an,s,ax,v,an,b,ap,ak,ah,h,f,m,aw,y,e,z,t,c4
ag,ab,ab,x,ag,ag,aa,p,s,t,j,aq,aa,b,o,a,aj,ar,ae,q,aq,d,n,ar,l,u,aq,ar,ae,aa,c1
ag,ab,r,t,ag,am,av,av,g,g,q,aq,ak,o,o,a,aj,au,ak,aa,aq,af,h,ar,g,as,ax,ai,as,aa,c1
ac,g,al,aw,r,aj,ax,h,u,j,m,aj,l,d,p,an,au,ar,ag,t,ae,av,ak,z,as,a,t,w,i,k,c2
ag,ab,m,n,ag,q,ab,ab,w,aq,l,aq,aw,ab,o,a,aj,ai,ac,aj,aq,g,w,ar,p,ak,i,g,f,aa,c1
q,ar,al,aw,r,m,ax,y,aj,b,n,aj,al,ah,h,s,v,ad,z,t,ae,av,ak,z,ar,a,k,h,k,ac,c2
d,k,y,l,e,ad,an,ap,h,ae,aj,z,as,ai,s,ax,aj,ax,b,ah,aq,a,av,aw,m,aw,y,e,x,q,c4
ag,ab,aa,h,ag,y,at,c,w,d,au,aq,u,h,o,a,aj,b,s,p,aq,aq,ak,ar,e,d,d,ag,w,aa,c1
o,ar,al,aw,r,ax,ax,o,aw,a,c,f,c,au,p,g,au,ax,am,t,ae,av,ak,z,g,a,ap,ak,j,ax,c2
ax,u,al,aw,r,s,ax,h,p,e,al,av,ab,ak,ai,v,x,j,am,t,ae,av,ak,z,ae,a,j,aq,al,g,c2
at,e,al,aw,r,i,ax,ad,y,av,aj,aq,q,as,z,e,h,k,y,t,ae,av,ak,z,w,a,ar,o,g,aq,c2
au,z,al,aw,r,au,ax,al,h,au,al,f,as,ak,z,au,u,ar,c,t,ae,av,ak,z,x,a,u,ar,ag,aj,c2
ao,k,b,t,aa,v,s,v,q,aq,ab,g,ac,x,r,u,af,w,ah,at,q,o,as,d,p,c,ao,af,ad,aa,c3
ag,ab,g,k,ag,aa,a,ac,au,ax,c,aq,aw,x,o,a,aj,y,ap,g,aq,aa,z,ar,ae,d,ai,s,af,aa,c1
s,n,al,aw,r,w,ax,ad,ar,u,j,n,d,ah,ax,as,av,m,ad,t,ae,av,ak,z,ac,a,e,h,e,f,c2
am,an,al,aw,r,f,ax,ae,g,b,ab,t,f,z,o,ag,ac,q,j,t,ae,av,ak,z,av,a,y,ad,au,aa,c2
ao,ax,ao,s,z,ag,s,ap,q,f,ao,g,aj,x,j,aa,af,n,an,ap,q,aq,ah,d,p,c,ao,af,ab,b,c3
ag,ab,aj,al,ag,z,ad,y,ag,h,l,aq,r,am,o,a,aj,al,x,aq,aq,ap,c,ar,aw,au,au,f,o,aa,c1
ao,ao,aj,aa,v,l,an,aw,g,b,ac,z,as,j,s,ax,ah,g,b,s,al,z,as,s,m,aw,y,e,i,q,c4
ao,a,aq,h,y,o,av,u,q,ad,d,g,z,ax,h,ac,af,v,af,i,q,aa,aa,d,p,c,ao,af,c,v,c3
h,z,q,av,e,z,an,ak,h,aa,ae,z,as,a,s,ax,h,j,b,aa,p,v,t,ak,m,aw,y,e,ak,h,c4
ao,ab,ae,af,l,m,au,ad,q,c,d,g,ac,w,ak,n,af,ap,ak,av,q,ac,aa,d,p,c,ao,af,ag,i,c3
au,aa,al,aw,r,b,ax,p,al,k,l,al,f,v,u,j,q,g,d,t,ae,av,ak,z,e,a,v,s,c,m,c2
l,u,y,ap,i,s,an,w,as,aj,f,z,as,am,s,ax,aa,ar,b,aq,n,l,ab,l,m,aw,y,e,i,o,c4
ao,af,ak,u,au,aj,ai,ac,q,as,k,g,as,u,av,aa,af,s,ao,ak,q,j,ak,d,p,c,ao,af,ao,al,c3
